order_id,customer_id,order_date,status,created_at
ORD-001,CUST-001,2025-03-10,Delivered,2025-03-10
ORD-002,CUST-002,2025-03-11,Delivered,2025-03-11
ORD-003,CUST-003,2025-03-12,shipped,2025-03-12
ORD-004,CUST-004,2025-03-13,Placed,2025-03-13
ORD-005,CUST-005,2025-03-14,Delivered,2025-03-14
ORD-006,CUST-001,2025-03-15,Shipped,2025-03-15
ORD-007,CUST-006,2025-03-16,PLACED,2025-03-16
ORD-008,CUST-007,2025-03-17,Delivered,2025-03-17
ORD-009,CUST-008,2025-03-18,Placed,2025-03-18
ORD-010,CUST-099,2025-03-19,Shipped,2025-03-19
ORD-011,CUST-010,2025-03-20,Delivered,2025-03-20
ORD-012,CUST-002,2025-03-21,Placed,2025-03-21
