transaction_id,order_id,quantity,unit_price,total_amount,payment_mode,created_at
TXN-001,ORD-001,2,1499.00,2998.00,Credit Card,2025-03-10
TXN-002,ORD-002,1,3200.00,3200.00,UPI,2025-03-11
TXN-003,ORD-003,3,850.00,2550.00,Debit Card,2025-03-12
TXN-004,ORD-004,1,5999.00,5999.00,Credit Card,2025-03-13
TXN-005,ORD-005,2,1200.00,2100.00,Net Banking,2025-03-14
TXN-006,ORD-006,1,4500.00,4500.00,UPI,2025-03-15
TXN-007,ORD-007,4,750.00,3000.00,,2025-03-16
TXN-008,ORD-008,1,8999.00,8999.00,Debit Card,2025-03-17
TXN-009,ORD-009,2,2200.00,4400.00,UPI,2025-03-18
TXN-010,ORD-010,3,650.00,1950.00,Net Banking,2025-03-19
TXN-011,ORD-011,1,3750.00,3750.00,Credit Card,2025-03-20
TXN-012,ORD-012,2,1100.00,-2200.00,UPI,2025-03-21
