PaymentID,OrderID,PaymentDate,GiftCardUsage,GiftCardAmount,CouponUsage,CouponAmount,PaymentMethodID
PAY-126838,OR-126837,2026-06-03 09:39:29+00:00,No,,Yes,262.29,PM-004
PAY-126839,OR-126838,2026-06-03 20:57:23+00:00,No,,Yes,469.02,PM-001
PAY-126840,OR-126839,2026-06-03 15:52:52+00:00,No,,Yes,194.81,PM-004
PAY-126841,OR-126840,2026-06-03 12:53:33+00:00,No,,Yes,421.7,PM-005
PAY-126842,OR-126841,2026-06-03 12:28:24+00:00,No,,Yes,275.92,PM-001
PAY-126843,OR-126842,2026-06-03 21:22:19+00:00,No,,Yes,411.95,PM-001
PAY-126844,OR-126843,2026-06-03 23:51:10+00:00,No,,Yes,444.65,PM-003
PAY-126845,OR-126844,2026-06-03 16:20:33+00:00,No,,Yes,88.87,PM-004
PAY-126846,OR-126845,2026-06-03 23:50:11+00:00,Yes,1083.29,Yes,303.71,PM-003
PAY-126847,OR-126846,2026-06-03 14:16:08+00:00,No,,Yes,215.72,PM-004
PAY-126848,OR-126847,2026-06-03 22:53:55+00:00,No,,No,,PM-005
PAY-126849,OR-126848,2026-06-03 23:27:34+00:00,No,,Yes,52.87,PM-004
PAY-126850,OR-126849,2026-06-03 11:18:58+00:00,Yes,2753.57,Yes,336.17,PM-001
PAY-126851,OR-126850,2026-06-03 09:23:27+00:00,No,,Yes,391.52,PM-004
PAY-126852,OR-126851,2026-06-03 20:08:47+00:00,No,,Yes,142.34,PM-002
PAY-126853,OR-126852,2026-06-03 17:59:09+00:00,No,,Yes,482.53,PM-002
PAY-126854,OR-126853,2026-06-03 15:22:16+00:00,No,,Yes,69.76,PM-002
PAY-126855,OR-126854,2026-06-04 00:33:32+00:00,No,,No,,PM-003
PAY-126856,OR-126855,2026-06-03 15:46:24+00:00,No,,No,,PM-001
PAY-126857,OR-126856,2026-06-03 22:18:34+00:00,Yes,754.22,No,,PM-004
PAY-126858,OR-126857,2026-06-03 18:46:31+00:00,Yes,2882.32,No,,PM-004
PAY-126859,OR-126858,2026-06-03 21:30:03+00:00,No,,Yes,181.25,PM-003
PAY-126860,OR-126859,2026-06-03 20:20:54+00:00,No,,No,,PM-003
PAY-126861,OR-126860,2026-06-03 10:21:01+00:00,No,,Yes,172.38,PM-001
PAY-126862,OR-126861,2026-06-04 01:50:09+00:00,No,,Yes,400.97,PM-005
PAY-126863,OR-126862,2026-06-03 21:10:57+00:00,Yes,617.72,Yes,252.31,PM-003
PAY-126864,OR-126863,2026-06-03 23:29:44+00:00,No,,Yes,291.17,PM-002
PAY-126865,OR-126864,2026-06-03 12:34:05+00:00,No,,Yes,258.51,PM-001
PAY-126866,OR-126865,2026-06-03 13:21:23+00:00,Yes,4057.22,Yes,186.9,PM-005
PAY-126867,OR-126866,2026-06-03 16:57:02+00:00,Yes,4196.03,Yes,197.51,PM-001
PAY-126868,OR-126867,2026-06-04 00:54:19+00:00,No,,Yes,228.31,PM-001
PAY-126869,OR-126868,2026-06-03 20:02:32+00:00,No,,Yes,419.04,PM-002
PAY-126870,OR-126869,2026-06-04 00:51:09+00:00,Yes,4287.55,Yes,300.18,PM-005
PAY-126871,OR-126870,2026-06-03 11:54:14+00:00,No,,Yes,257.92,PM-002
PAY-126872,OR-126871,2026-06-03 22:50:57+00:00,Yes,402.18,Yes,401.43,PM-002
PAY-126873,OR-126872,2026-06-03 09:07:41+00:00,No,,Yes,420.65,PM-003
PAY-126874,OR-126873,2026-06-03 11:20:35+00:00,Yes,2971.98,No,,PM-001
PAY-126875,OR-126874,2026-06-03 23:43:27+00:00,Yes,1068.98,Yes,340.69,PM-002
PAY-126876,OR-126875,2026-06-04 02:18:36+00:00,Yes,700.39,Yes,474.03,PM-001
PAY-126877,OR-126876,2026-06-03 14:57:27+00:00,No,,No,,PM-004
PAY-126878,OR-126877,2026-06-03 10:14:28+00:00,No,,Yes,63.27,PM-004
PAY-126879,OR-126878,2026-06-04 01:33:03+00:00,No,,Yes,146.62,PM-002
PAY-126880,OR-126879,2026-06-03 16:45:33+00:00,No,,Yes,250.71,PM-002
PAY-126881,OR-126880,2026-06-03 21:47:54+00:00,Yes,3133.97,No,,PM-002
PAY-126882,OR-126881,2026-06-03 20:57:26+00:00,No,,Yes,235.4,PM-005
PAY-126883,OR-126882,2026-06-04 01:41:31+00:00,No,,Yes,89.47,PM-004
PAY-126884,OR-126883,2026-06-04 01:17:54+00:00,No,,Yes,139.76,PM-005
