campaign_id,product_id,channel_id,budget,end_date,start_date,campaign_type
1481,OFF-BI-10004230,7,8717.00,2018-06-09,2017-10-09,Loyalty Campaign
366,FUR-TA-10000617,5,13895.00,2018-03-13,2017-12-12,First-Time Buyer Campaign
656,TEC-AC-10002006,3,8285.00,2018-06-08,2018-04-03,First-Time Buyer Campaign
856,TEC-PH-10004908,6,17384.00,2017-10-09,2017-03-28,Retargeting
136,OFF-BI-10000138,5,14041.00,2017-09-14,2017-06-18,Discount
870,TEC-AC-10002926,6,16772.00,2018-01-14,2017-01-18,Retargeting
1144,OFF-PA-10000809,1,13599.00,2017-12-29,2017-05-03,Flash Sale
980,OFF-ST-10000877,4,11145.00,2017-12-18,2017-03-01,Retargeting
862,FUR-FU-10004622,1,15276.00,2017-05-18,2017-01-25,Discount
607,TEC-PH-10003800,7,20139.00,2018-02-11,2017-10-03,Conversion Campaign
199,FUR-CH-10004495,7,11323.00,2018-02-05,2017-02-03,Engagement Campaign
313,FUR-CH-10004495,1,7463.00,2018-02-01,2017-04-01,Win-Back Campaign
532,FUR-CH-10004495,5,13095.00,2018-01-20,2017-08-14,Flash Sale
1433,FUR-CH-10004495,3,6209.00,2018-01-27,2017-06-08,Loyalty Campaign
318,OFF-PA-10004475,5,35370.00,2017-11-21,2017-07-02,Brand Awareness
1216,FUR-FU-10001889,2,14168.00,2018-06-17,2017-06-15,Win-Back Campaign
1410,FUR-FU-10001889,1,10431.00,2018-06-01,2017-07-06,Flash Sale
186,FUR-FU-10003708,5,10465.00,2018-04-02,2017-07-03,First-Time Buyer Campaign
284,OFF-EN-10001335,4,16520.00,2017-11-03,2017-08-07,Discount
1346,OFF-EN-10001335,7,7912.00,2017-11-29,2017-07-24,Retargeting
1408,OFF-PA-10000327,5,9610.00,2018-06-02,2018-03-28,Flash Sale
1100,OFF-ST-10000078,1,7917.00,2018-07-25,2017-11-22,Flash Sale
203,FUR-FU-10001379,7,12064.00,2017-07-02,2016-11-21,First-Time Buyer Campaign
729,OFF-AR-10000588,7,32482.00,2018-08-25,2018-06-04,Product Launch
115,TEC-AC-10001013,1,9821.00,2017-08-27,2017-05-07,Discount
520,TEC-AC-10001013,1,13865.00,2017-08-04,2017-02-10,Loyalty Campaign
722,TEC-AC-10001013,3,34830.00,2017-09-08,2017-01-22,Seasonal Sale
1260,TEC-AC-10001013,2,10135.00,2017-08-23,2017-02-21,Loyalty Campaign
1341,TEC-AC-10001013,3,7062.00,2017-08-20,2017-06-24,First-Time Buyer Campaign
283,TEC-MA-10000752,6,17908.00,2018-02-12,2017-12-13,First-Time Buyer Campaign
398,FUR-FU-10004586,7,17441.00,2018-08-24,2018-07-01,Seasonal Sale
1022,FUR-FU-10004586,7,40698.00,2018-08-03,2017-11-13,Product Launch
384,OFF-BI-10003982,5,6220.00,2017-02-20,2016-08-14,Flash Sale
1304,OFF-BI-10003982,5,13016.00,2017-02-16,2016-04-11,Flash Sale
1448,OFF-BI-10003982,5,5642.00,2017-03-14,2016-09-30,Flash Sale
874,OFF-LA-10002312,4,32575.00,2018-01-02,2017-09-26,Seasonal Sale
801,FUR-TA-10001520,1,14233.00,2017-12-24,2017-02-18,Flash Sale
1049,FUR-TA-10001520,6,39499.00,2017-12-12,2017-11-03,Product Launch
1102,FUR-TA-10001520,1,8409.00,2017-12-15,2017-07-19,Loyalty Campaign
320,OFF-BI-10001031,5,44226.00,2017-12-11,2017-01-22,Product Launch
1437,OFF-FA-10001883,4,13578.00,2017-12-19,2017-06-23,Engagement Campaign
258,OFF-ST-10001713,7,11475.00,2017-12-26,2017-05-28,Win-Back Campaign
