metric_id,campaign_id,impressions,clicks,conversions,bounces,metric_date
1,101,14019,1418,204,317,2017-10-04
2,101,24560,1590,1391,1114,2017-10-03
3,101,11482,580,80,298,2017-09-30
4,101,20166,1817,1466,1351,2017-10-07
5,101,17636,1183,107,679,2017-10-05
6,101,14165,1121,577,139,2017-10-06
7,101,7254,435,396,333,2017-10-02
8,101,3056,193,110,192,2017-10-08
9,101,18151,1601,624,846,2017-10-01
10,101,20541,548,232,185,2017-09-29
11,102,8796,643,591,331,2017-12-07
12,102,23580,2111,1959,1066,2017-12-10
13,102,18197,1904,752,730,2017-12-04
14,102,18499,1881,570,1159,2017-12-08
15,102,13847,776,652,638,2017-12-09
16,102,18375,1360,724,493,2017-12-05
17,102,22701,1187,370,36,2017-12-06
18,102,3647,236,60,217,2017-12-11
19,103,4147,247,128,121,2016-03-07
20,103,21888,1766,739,1556,2016-03-09
21,103,21742,2120,346,69,2016-03-06
22,103,22683,1275,163,1046,2016-03-13
23,103,17904,695,99,103,2016-03-02
24,103,10521,1124,274,439,2016-02-29
25,103,21951,1136,65,1118,2016-03-03
26,103,5030,512,506,148,2016-03-08
27,103,22102,668,571,81,2016-03-11
28,103,15232,457,347,249,2016-02-28
29,103,18463,1049,826,133,2016-03-01
30,103,13595,954,820,345,2016-03-10
31,103,9150,783,41,175,2016-03-04
32,103,23415,1811,1356,1591,2016-03-12
33,104,17266,720,189,452,2017-08-11
34,104,18910,1113,769,411,2017-08-18
35,104,10699,391,316,229,2017-08-08
36,104,6670,555,69,75,2017-08-17
37,104,6386,409,359,43,2017-08-12
38,104,19589,1610,693,938,2017-08-07
39,104,3416,290,227,209,2017-08-09
40,104,12481,886,468,434,2017-08-15
41,104,13715,1401,984,89,2017-08-10
42,104,23945,617,247,372,2017-08-13
43,104,3504,378,161,203,2017-08-16
44,104,18967,2245,164,1834,2017-08-14
45,105,6977,151,126,128,2016-11-09
46,105,8439,574,253,254,2016-10-15
