SupplierID,SupplierName,SupplierEmail,City
SUP-01,Johnson & Co.,contact@johnsonco.com,Mumbai
SUP-02,Greenwood Supplies,info@greenwoodsupplies.in,Delhi
SUP-03,Thompson Enterprises,support@thompsonent.com,Bangalore
SUP-04,Baker & Sons,sales@bakerandsons.com,Hyderabad
SUP-05,Miller Industries,contact@millerindustries.in,Chennai
SUP-06,Smith & Partners,info@smithpartners.com,Kolkata
SUP-07,Anderson Goods,support@andersongoods.in,Pune
SUP-08,Brown Trading,contact@browntrading.com,Ahmedabad
SUP-09,Davis Holdings,info@davisholdings.com,Jaipur
SUP-10,Wilson Solutions,contact@wilsonsolutions.in,Lucknow
