orderid,customerid,orderdate,shippingdate,expecteddeliverydate,actualdeliverydate,shippingtierid,supplierid,orderchannel
OR-10009,CUST-13976,27-03-2022 04:47,27-03-2022 04:53,27-03-2022 05:08,27-03-2022 05:27,SHP-004,SUP-04,Retail PoS
OR-10010,CUST-06055,21-11-2023 07:22,27-11-2023 13:34,28-11-2023 16:35,28-11-2023 08:37,SHP-003,SUP-05,Online
OR-10013,CUST-16668,07-04-1999 01:35,11-04-1999 21:32,19-04-1999 15:35,14-04-1999 22:25,SHP-002,SUP-05,Online
OR-10042,CUST-14331,29-11-2023 02:56,29-11-2023 03:04,29-11-2023 03:17,29-11-2023 03:18,SHP-004,SUP-01,Retail PoS
OR-10048,CUST-03117,20-04-2015 14:36,20-04-2015 14:44,20-04-2015 15:05,20-04-2015 15:10,SHP-004,SUP-03,Retail PoS
OR-10058,CUST-18175,19-06-2022 14:41,22-06-2022 18:57,28-06-2022 13:05,12-07-2022 03:33,SHP-002,SUP-08,Online
OR-10060,CUST-08556,24-08-2019 03:14,27-08-2019 11:30,04-09-2019 21:24,29-08-2019 13:36,SHP-003,SUP-04,Online
OR-10070,CUST-11270,22-06-2024 04:05,22-06-2024 04:14,22-06-2024 04:31,22-06-2024 04:44,SHP-004,SUP-03,Retail PoS
OR-10107,CUST-14584,21-09-2020 11:27,24-09-2020 23:05,08-10-2020 06:26,03-10-2020 11:22,SHP-002,SUP-09,Online
OR-10111,CUST-14537,29-03-2018 17:33,30-03-2018 20:37,15-04-2018 05:30,07-04-2018 00:13,SHP-001,SUP-06,Online
OR-10116,CUST-05937,22-02-2007 12:22,27-02-2007 20:18,10-03-2007 17:39,07-03-2007 08:47,SHP-001,SUP-08,Online
OR-10118,CUST-00473,02-07-2024 03:25,07-07-2024 20:08,18-07-2024 04:53,07-08-2024 14:54,SHP-003,SUP-03,Online
OR-10124,CUST-18078,14-05-2021 00:23,15-05-2021 19:58,16-05-2021 16:12,16-05-2021 10:00,SHP-001,SUP-08,Online
OR-10137,CUST-02867,06-01-2024 13:12,06-01-2024 13:22,06-01-2024 13:34,06-01-2024 13:35,SHP-004,SUP-09,Retail PoS
OR-10139,CUST-06413,12-01-2015 19:16,14-01-2015 01:23,22-01-2015 12:04,18-01-2015 17:31,SHP-003,SUP-04,Online
OR-10140,CUST-02703,29-01-2024 07:55,29-01-2024 08:05,29-01-2024 08:20,29-01-2024 08:21,SHP-004,SUP-04,Retail PoS
OR-10145,CUST-00657,20-03-2015 10:53,20-03-2015 11:03,20-03-2015 11:19,20-03-2015 11:09,SHP-004,SUP-10,Retail PoS
OR-10147,CUST-11294,01-10-2022 13:47,09-10-2022 06:13,21-10-2022 13:34,05-11-2022 02:39,SHP-003,SUP-05,Online
OR-10161,CUST-08713,09-03-2019 11:49,09-03-2019 11:58,09-03-2019 12:16,09-03-2019 12:06,SHP-004,SUP-05,Retail PoS
OR-10162,CUST-00297,20-08-2020 03:51,20-08-2020 03:57,20-08-2020 04:21,20-08-2020 04:24,SHP-004,SUP-10,Retail PoS
OR-10164,CUST-08398,07-11-2009 13:11,13-11-2009 04:02,22-11-2009 01:02,16-11-2009 18:05,SHP-003,SUP-05,Online
OR-10167,CUST-02829,22-05-2024 03:29,24-05-2024 21:06,09-06-2024 15:46,27-05-2024 15:35,SHP-003,SUP-05,Online
OR-10172,CUST-09677,02-01-2019 19:37,02-01-2019 19:42,02-01-2019 19:57,02-01-2019 20:17,SHP-004,SUP-06,Retail PoS
OR-10179,CUST-07353,12-05-2005 15:28,15-05-2005 03:27,03-06-2005 14:38,19-05-2005 06:53,SHP-001,SUP-02,Online
OR-10213,CUST-09440,03-12-2023 03:51,11-12-2023 16:16,15-12-2023 17:43,09-01-2024 20:20,SHP-005,SUP-04,Retail PoS
OR-10223,CUST-14328,13-02-2019 02:38,13-02-2019 02:47,13-02-2019 02:58,13-02-2019 03:03,SHP-004,SUP-07,Retail PoS
OR-10262,CUST-15836,25-07-2018 15:05,27-07-2018 04:15,05-08-2018 06:26,29-07-2018 21:39,SHP-003,SUP-06,Online
OR-10264,CUST-18191,15-06-2024 21:41,15-06-2024 21:51,15-06-2024 22:10,15-06-2024 22:06,SHP-004,SUP-04,Retail PoS
OR-10265,CUST-12246,19-02-2024 22:54,25-02-2024 03:32,08-03-2024 01:36,07-03-2024 02:13,SHP-002,SUP-01,Online
OR-10297,CUST-19201,07-04-2016 18:44,11-04-2016 01:33,28-04-2016 00:19,14-04-2016 07:40,SHP-001,SUP-01,Online
OR-10305,CUST-15245,04-02-2023 03:37,04-02-2023 03:46,04-02-2023 04:02,04-02-2023 04:15,SHP-004,SUP-07,Retail PoS
OR-10312,CUST-14339,22-03-2017 03:12,22-03-2017 03:18,22-03-2017 03:34,22-03-2017 03:27,SHP-004,SUP-01,Retail PoS
OR-10314,CUST-19405,17-03-2012 05:00,27-03-2012 05:36,13-04-2012 07:50,12-04-2012 05:40,SHP-003,SUP-08,Online
OR-10325,CUST-02212,21-04-2023 07:20,26-04-2023 22:28,06-05-2023 01:35,02-05-2023 16:39,SHP-002,SUP-09,Online
OR-10327,CUST-18282,07-09-2021 00:57,07-09-2021 01:02,07-09-2021 01:18,07-09-2021 01:35,SHP-004,SUP-07,Retail PoS
OR-10328,CUST-16950,21-01-2020 07:33,21-01-2020 07:39,21-01-2020 07:58,21-01-2020 08:13,SHP-004,SUP-07,Retail PoS
OR-10346,CUST-05175,17-11-2016 01:51,17-11-2016 01:56,17-11-2016 02:20,17-11-2016 02:22,SHP-004,SUP-01,Retail PoS
OR-10347,CUST-17926,29-01-2021 04:43,09-02-2021 01:01,01-03-2021 16:40,26-02-2021 06:07,SHP-001,SUP-01,Online
OR-10357,CUST-17517,15-12-2021 22:59,19-12-2021 04:28,08-01-2022 03:58,27-12-2021 03:15,SHP-002,SUP-10,Online
OR-10375,CUST-15608,05-05-2024 17:43,09-05-2024 01:56,13-05-2024 16:44,24-05-2024 10:11,SHP-001,SUP-10,Online
OR-10377,CUST-16526,27-03-2024 16:49,27-03-2024 16:58,27-03-2024 17:16,27-03-2024 17:23,SHP-004,SUP-06,Retail PoS
OR-10386,CUST-05659,17-03-2017 00:18,18-03-2017 10:02,19-03-2017 08:27,07-04-2017 14:42,SHP-001,SUP-03,Online
OR-10389,CUST-06189,11-09-2018 07:22,17-09-2018 23:56,20-09-2018 17:26,29-09-2018 08:39,SHP-001,SUP-08,Online
OR-10394,CUST-13449,29-02-2024 22:28,29-02-2024 22:34,29-02-2024 22:56,29-02-2024 22:51,SHP-004,SUP-08,Retail PoS
OR-10397,CUST-02808,23-02-2013 04:11,23-02-2013 04:21,23-02-2013 04:35,23-02-2013 04:47,SHP-004,SUP-03,Retail PoS
OR-10399,CUST-09025,24-11-2023 10:52,30-11-2023 02:34,14-12-2023 01:58,03-12-2023 14:12,SHP-001,SUP-01,Online
OR-10409,CUST-13619,28-04-2020 18:33,01-05-2020 04:41,10-05-2020 23:25,25-05-2020 06:49,SHP-002,SUP-06,Online
OR-10418,CUST-11687,14-01-2024 18:13,16-01-2024 20:31,05-02-2024 04:18,24-01-2024 18:56,SHP-002,SUP-06,Online
OR-10424,CUST-08148,06-05-2020 10:31,06-05-2020 10:39,06-05-2020 11:00,06-05-2020 10:49,SHP-004,SUP-01,Retail PoS
OR-10426,CUST-08654,25-05-2024 01:11,25-05-2024 01:19,25-05-2024 01:33,25-05-2024 01:35,SHP-004,SUP-07,Retail PoS
OR-10428,CUST-15351,05-01-2023 08:34,05-01-2023 08:41,05-01-2023 09:01,05-01-2023 09:05,SHP-004,SUP-04,Retail PoS
OR-10433,CUST-10072,17-05-2022 00:32,23-05-2022 03:00,31-05-2022 16:27,30-05-2022 05:18,SHP-002,SUP-09,Online
OR-10436,CUST-11203,23-03-2024 05:36,02-04-2024 19:25,08-04-2024 09:37,04-04-2024 19:48,SHP-001,SUP-03,Online
OR-10445,CUST-07288,18-01-2024 00:11,20-01-2024 14:31,08-02-2024 11:29,25-01-2024 17:02,SHP-002,SUP-01,Online
OR-10456,CUST-10509,04-05-2021 00:14,13-05-2021 08:33,02-06-2021 12:16,02-07-2021 08:41,SHP-001,SUP-04,Online
OR-10462,CUST-07071,12-02-2024 00:49,17-02-2024 22:24,04-03-2024 02:01,29-02-2024 04:34,SHP-001,SUP-06,Online
OR-10464,CUST-08607,30-12-2022 23:56,04-01-2023 16:58,08-01-2023 10:28,11-01-2023 08:10,SHP-003,SUP-09,Online
OR-10476,CUST-05012,06-05-2024 00:56,09-05-2024 03:56,28-05-2024 14:57,17-05-2024 09:22,SHP-001,SUP-09,Online
OR-10477,CUST-04818,16-09-2019 10:16,16-09-2019 10:23,16-09-2019 10:36,16-09-2019 10:44,SHP-004,SUP-04,Retail PoS
OR-10483,CUST-13366,03-06-2024 01:42,05-06-2024 01:04,05-06-2024 09:27,05-06-2024 00:09,SHP-001,SUP-10,Online
OR-10486,CUST-01612,24-11-2020 03:12,24-11-2020 03:17,24-11-2020 03:39,24-11-2020 03:27,SHP-004,SUP-05,Retail PoS
OR-10490,CUST-18471,28-06-2024 08:31,01-07-2024 14:51,02-07-2024 07:12,02-07-2024 04:01,SHP-003,SUP-10,Online
OR-10492,CUST-14126,10-11-2014 03:26,10-11-2014 03:36,10-11-2014 03:46,10-11-2014 04:02,SHP-004,SUP-02,Retail PoS
OR-10501,CUST-19626,01-06-2023 15:49,05-06-2023 12:39,17-06-2023 09:44,07-07-2023 16:38,SHP-002,SUP-05,Online
OR-10504,CUST-08268,24-01-2021 22:12,29-01-2021 04:57,12-02-2021 09:24,11-03-2021 15:38,SHP-003,SUP-10,Online
OR-10512,CUST-13466,16-11-2023 09:36,25-11-2023 19:55,03-12-2023 07:08,28-11-2023 21:41,SHP-001,SUP-03,Online
OR-10524,CUST-01369,24-05-2020 10:17,28-05-2020 07:48,07-06-2020 18:40,05-06-2020 17:58,SHP-003,SUP-07,Online
OR-10528,CUST-08645,03-07-2016 04:03,04-07-2016 05:15,09-07-2016 00:03,06-07-2016 23:52,SHP-003,SUP-09,Online
OR-10536,CUST-01915,18-03-2024 01:24,27-03-2024 18:04,10-04-2024 11:13,02-04-2024 00:05,SHP-001,SUP-02,Online
OR-10538,CUST-17812,18-02-2020 06:28,23-02-2020 13:03,07-03-2020 14:55,26-02-2020 12:40,SHP-003,SUP-10,Online
OR-10550,CUST-16879,06-05-2024 00:50,06-05-2024 00:57,06-05-2024 01:13,06-05-2024 01:08,SHP-004,SUP-09,Retail PoS
OR-10557,CUST-13171,17-01-2024 09:56,22-01-2024 08:43,31-01-2024 14:11,30-01-2024 22:33,SHP-003,SUP-03,Online
OR-10609,CUST-15941,25-06-2021 19:31,25-06-2021 19:37,25-06-2021 19:51,25-06-2021 20:00,SHP-004,SUP-04,Retail PoS
OR-10614,CUST-12890,11-10-2021 04:46,11-10-2021 04:51,11-10-2021 05:11,11-10-2021 05:25,SHP-004,SUP-09,Retail PoS
OR-10626,CUST-00978,14-11-2022 11:48,14-11-2022 11:54,14-11-2022 12:16,14-11-2022 12:18,SHP-004,SUP-07,Retail PoS
OR-10630,CUST-09496,20-09-2018 10:57,27-09-2018 21:05,01-10-2018 23:51,29-09-2018 21:21,SHP-001,SUP-04,Online
OR-10632,CUST-15881,28-12-2022 03:00,03-01-2023 19:36,05-01-2023 05:54,25-01-2023 12:28,SHP-005,SUP-10,Retail PoS
OR-10634,CUST-08003,18-09-2021 20:48,18-09-2021 20:58,18-09-2021 21:15,18-09-2021 21:18,SHP-004,SUP-08,Retail PoS
OR-10636,CUST-07791,08-08-2011 08:54,08-08-2011 09:00,08-08-2011 09:19,08-08-2011 09:20,SHP-004,SUP-07,Retail PoS
OR-10640,CUST-06900,19-04-2021 12:38,19-04-2021 12:43,19-04-2021 13:02,19-04-2021 13:04,SHP-004,SUP-04,Retail PoS
OR-10642,CUST-14573,14-03-2024 00:13,20-03-2024 11:42,29-03-2024 22:33,23-03-2024 19:33,SHP-003,SUP-06,Online
OR-10643,CUST-01330,18-10-2023 14:43,18-10-2023 14:52,18-10-2023 15:07,18-10-2023 15:14,SHP-004,SUP-04,Retail PoS
OR-10675,CUST-07162,09-01-2024 17:19,09-01-2024 17:28,09-01-2024 17:49,09-01-2024 17:46,SHP-004,SUP-04,Retail PoS
OR-10681,CUST-19137,26-08-2023 00:44,30-08-2023 19:10,19-09-2023 09:05,13-09-2023 16:55,SHP-002,SUP-07,Online
OR-10698,CUST-14936,13-03-2023 04:07,13-03-2023 04:15,13-03-2023 04:27,13-03-2023 04:22,SHP-004,SUP-07,Retail PoS
OR-10713,CUST-13250,21-12-2014 18:12,29-12-2014 13:35,17-01-2015 23:47,09-02-2015 13:53,SHP-003,SUP-03,Online
OR-10715,CUST-10805,19-09-2011 21:22,27-09-2011 01:27,11-10-2011 06:03,22-10-2011 11:34,SHP-002,SUP-10,Online
OR-10720,CUST-03219,27-12-2017 11:35,06-01-2018 16:23,19-01-2018 00:13,17-02-2018 19:29,SHP-003,SUP-07,Online
OR-10721,CUST-05950,03-05-2024 07:03,06-05-2024 18:37,27-05-2024 16:19,21-06-2024 01:22,SHP-001,SUP-05,Online
OR-10722,CUST-19881,20-12-2016 12:56,20-12-2016 13:01,20-12-2016 13:19,20-12-2016 13:18,SHP-004,SUP-01,Retail PoS
OR-10727,CUST-09402,04-11-2022 03:04,13-11-2022 18:11,04-12-2022 11:23,14-11-2022 20:25,SHP-003,SUP-04,Online
OR-10735,CUST-03089,19-12-2023 08:33,29-12-2023 01:23,16-01-2024 09:21,15-01-2024 04:19,SHP-002,SUP-07,Online
OR-10738,CUST-04028,05-01-2024 04:59,14-01-2024 23:53,28-01-2024 16:28,19-01-2024 00:01,SHP-003,SUP-09,Online
OR-10744,CUST-11471,12-12-2021 01:16,12-12-2021 01:22,12-12-2021 01:38,12-12-2021 01:56,SHP-004,SUP-09,Retail PoS
OR-10747,CUST-16867,06-04-2024 01:26,12-04-2024 18:48,29-04-2024 11:32,21-05-2024 18:52,SHP-002,SUP-04,Online
OR-10754,CUST-15944,07-09-2022 21:10,07-09-2022 21:17,07-09-2022 21:30,07-09-2022 21:46,SHP-004,SUP-04,Retail PoS
OR-10764,CUST-17296,25-06-2024 03:15,01-07-2024 18:00,12-07-2024 02:48,28-07-2024 11:04,SHP-001,SUP-06,Online
OR-10778,CUST-13505,17-09-2015 20:28,28-09-2015 05:04,29-09-2015 23:52,29-09-2015 13:46,SHP-002,SUP-08,Online
OR-10780,CUST-05530,14-04-2019 05:58,14-04-2019 06:08,14-04-2019 06:22,14-04-2019 06:34,SHP-004,SUP-02,Retail PoS
OR-10785,CUST-13950,12-06-2024 07:38,12-06-2024 07:44,12-06-2024 08:00,12-06-2024 08:15,SHP-004,SUP-02,Retail PoS
OR-10792,CUST-13999,01-10-2014 09:06,11-10-2014 05:22,21-10-2014 02:32,16-10-2014 11:28,SHP-002,SUP-01,Online
OR-10800,CUST-18897,16-04-2022 15:26,25-04-2022 12:07,25-04-2022 18:36,07-05-2022 01:01,SHP-003,SUP-10,Online
OR-10806,CUST-01887,06-04-2023 09:53,06-04-2023 10:02,06-04-2023 10:18,06-04-2023 10:29,SHP-004,SUP-05,Retail PoS
OR-10807,CUST-09857,21-10-2015 07:55,21-10-2015 08:04,21-10-2015 08:19,21-10-2015 08:22,SHP-004,SUP-04,Retail PoS
OR-10808,CUST-07799,13-12-2023 11:11,19-12-2023 03:30,31-12-2023 12:07,27-01-2024 17:16,SHP-001,SUP-08,Online
OR-10821,CUST-02118,20-06-2024 19:17,22-06-2024 19:27,05-07-2024 20:33,02-07-2024 02:04,SHP-002,SUP-03,Online
OR-10822,CUST-16226,03-07-2024 23:20,06-07-2024 16:37,21-07-2024 20:22,05-08-2024 01:11,SHP-001,SUP-04,Online
OR-10824,CUST-04399,29-07-2022 12:41,05-08-2022 09:45,25-08-2022 17:47,14-08-2022 13:12,SHP-002,SUP-07,Online
OR-10826,CUST-01289,13-06-2024 06:26,23-06-2024 07:57,10-07-2024 05:43,07-07-2024 19:36,SHP-001,SUP-10,Online
OR-10828,CUST-04982,17-04-2021 17:53,18-04-2021 22:59,06-05-2021 01:07,09-05-2021 23:12,SHP-001,SUP-09,Online
OR-10832,CUST-14540,19-11-2020 00:54,19-11-2020 01:03,19-11-2020 01:20,19-11-2020 01:13,SHP-004,SUP-09,Retail PoS
OR-10835,CUST-19114,29-03-2021 16:20,29-03-2021 16:30,29-03-2021 16:49,29-03-2021 16:44,SHP-004,SUP-09,Retail PoS
OR-10847,CUST-03243,03-04-2024 19:48,03-04-2024 19:58,03-04-2024 20:11,03-04-2024 20:06,SHP-004,SUP-09,Retail PoS
OR-10848,CUST-10485,15-02-2007 03:41,15-02-2007 03:49,15-02-2007 04:02,15-02-2007 04:06,SHP-004,SUP-07,Retail PoS
OR-10850,CUST-16102,13-03-2022 04:11,19-03-2022 04:02,28-03-2022 02:06,24-03-2022 10:35,SHP-003,SUP-06,Online
OR-10862,CUST-08268,29-09-2021 12:41,06-10-2021 10:52,18-10-2021 01:57,10-10-2021 00:54,SHP-003,SUP-08,Online
OR-10873,CUST-06780,05-11-2016 02:44,10-11-2016 19:38,15-11-2016 10:39,12-11-2016 17:40,SHP-003,SUP-07,Online
OR-10879,CUST-18420,05-09-2011 15:05,06-09-2011 18:20,27-09-2011 12:08,26-09-2011 10:18,SHP-001,SUP-01,Online
OR-10881,CUST-07249,29-05-2020 19:21,09-06-2020 06:27,21-06-2020 11:23,18-06-2020 08:58,SHP-002,SUP-04,Online
OR-10885,CUST-03490,28-09-2019 11:14,02-10-2019 04:17,03-10-2019 02:28,25-10-2019 03:06,SHP-002,SUP-05,Online
OR-10891,CUST-04905,19-05-2024 06:39,22-05-2024 00:43,07-06-2024 17:52,26-05-2024 08:39,SHP-001,SUP-08,Online
OR-10896,CUST-14329,23-05-2010 08:23,23-05-2010 08:28,23-05-2010 08:46,23-05-2010 08:59,SHP-004,SUP-07,Retail PoS
OR-10902,CUST-11239,24-01-2024 21:24,28-01-2024 09:02,31-01-2024 20:48,30-01-2024 11:10,SHP-001,SUP-10,Online
OR-10904,CUST-01678,27-10-2015 17:59,27-10-2015 18:07,27-10-2015 18:21,27-10-2015 18:15,SHP-004,SUP-06,Retail PoS
OR-10912,CUST-19469,20-03-2023 01:08,21-03-2023 04:48,08-04-2023 20:09,05-04-2023 02:44,SHP-002,SUP-07,Online
OR-10915,CUST-11745,30-04-2020 22:52,09-05-2020 07:53,11-05-2020 17:45,10-05-2020 14:08,SHP-002,SUP-09,Online
OR-10925,CUST-11938,06-01-2024 17:20,13-01-2024 13:54,01-02-2024 07:03,15-01-2024 21:18,SHP-002,SUP-03,Online
OR-10926,CUST-13581,11-05-2022 14:52,14-05-2022 00:48,22-05-2022 23:43,19-05-2022 04:44,SHP-003,SUP-08,Online
OR-10938,CUST-01832,06-01-2024 10:13,14-01-2024 06:47,15-01-2024 10:07,01-02-2024 20:23,SHP-002,SUP-08,Online
OR-10953,CUST-09327,20-02-2023 12:00,01-03-2023 12:29,02-03-2023 19:25,24-03-2023 00:34,SHP-002,SUP-04,Online
OR-10954,CUST-05466,15-11-2023 20:03,23-11-2023 14:19,03-12-2023 04:07,29-11-2023 06:03,SHP-003,SUP-04,Online
OR-10958,CUST-19929,11-11-2023 11:34,12-11-2023 13:51,29-11-2023 04:53,17-11-2023 16:20,SHP-003,SUP-06,Online
OR-10965,CUST-14740,05-01-2024 16:43,10-01-2024 13:29,21-01-2024 10:39,16-01-2024 14:05,SHP-001,SUP-03,Online
OR-10987,CUST-03018,21-06-2024 22:26,01-07-2024 12:42,05-07-2024 09:01,02-07-2024 19:16,SHP-002,SUP-03,Online
OR-11000,CUST-11736,05-10-2007 09:50,15-10-2007 09:39,26-10-2007 07:06,20-11-2007 13:21,SHP-001,SUP-10,Online
OR-11001,CUST-01349,13-02-2021 22:23,17-02-2021 09:29,25-02-2021 02:33,18-02-2021 22:55,SHP-002,SUP-06,Online
OR-11008,CUST-13410,19-06-2023 04:54,25-06-2023 02:12,11-07-2023 08:58,28-06-2023 01:55,SHP-003,SUP-09,Online
OR-11012,CUST-11002,09-11-2023 22:14,16-11-2023 06:16,30-11-2023 08:13,28-12-2023 08:38,SHP-002,SUP-01,Online
