OrderItemID,OrderID,ProductID,Quantity
OR-CA-45886392,OR-10563,PRD-00149,4
OR-CTB-95130739,OR-10563,PRD-00004,2
OR-HC-11068709,OR-10563,PRD-00009,1
OR-IL-72893206,OR-32794,PRD-00003,5
OR-C-54598354,OR-77463,PRD-00001,5
OR-CS-58308330,OR-77463,PRD-00001,4
OR-H-79265686,OR-77463,PRD-00042,5
OR-BL-26930966,OR-77463,PRD-00004,1
OR-BL-54795187,OR-37356,PRD-00001,4
OR-S-42160831,OR-42254,PRD-00001,2
OR-KS-91578037,OR-42254,PRD-00330,2
OR-AE-12730872,OR-42254,PRD-00001,3
OR-CS-41929131,OR-42254,PRD-00139,5
OR-FS-62058669,OR-58774,PRD-00176,2
OR-B-85809137,OR-57115,PRD-00004,1
OR-CTB-45971596,OR-57115,PRD-00001,3
OR-AE-72520241,OR-57115,PRD-00010,5
OR-AHK-10122741,OR-96795,PRD-00141,2
OR-FSJ-42114909,OR-96795,PRD-00027,1
OR-SC-39957541,OR-36295,PRD-00051,2
OR-FSJ-70685942,OR-36295,PRD-00110,1
OR-J-28618113,OR-36295,PRD-00006,4
OR-AF-44182558,OR-36295,PRD-00035,1
OR-HC-65165556,OR-36295,PRD-00070,4
OR-BL-61333934,OR-96557,PRD-00136,1
OR-HC-95794060,OR-96557,PRD-00002,2
OR-CS-62061948,OR-96557,PRD-00094,1
OR-WW-76670944,OR-96557,PRD-00002,4
OR-EW-62987940,OR-44108,PRD-00002,4
OR-AE-75935681,OR-44108,PRD-00052,3
OR-S-13773693,OR-44108,PRD-00050,1
OR-KC-81588843,OR-19116,PRD-00017,4
OR-SC-97213624,OR-19116,PRD-00064,2
OR-LN-82190087,OR-19116,PRD-00070,2
OR-MAP-84146867,OR-19116,PRD-00001,3
OR-J-39468710,OR-67607,PRD-00018,4
OR-EW-24610355,OR-67607,PRD-00001,1
OR-AC-23080807,OR-67607,PRD-00001,5
OR-S-44855375,OR-67607,PRD-00029,4
OR-B-18405255,OR-67607,PRD-00002,1
OR-S-16492570,OR-30386,PRD-00008,2
OR-HC-24919533,OR-30386,PRD-00264,3
OR-H-85807267,OR-30386,PRD-00016,2
OR-KF-34366015,OR-30386,PRD-00002,3
OR-H-65756758,OR-78836,PRD-00467,5
OR-EW-20377564,OR-78836,PRD-00019,4
OR-C-31072323,OR-78836,PRD-00345,2
OR-FSJ-37595973,OR-26518,PRD-00073,1
OR-CS-13681083,OR-26518,PRD-00002,5
OR-CA-77593949,OR-26518,PRD-00005,3
OR-EW-50996814,OR-53520,PRD-00372,5
OR-SS-99227567,OR-53520,PRD-00001,5
OR-LN-40171027,OR-53520,PRD-00029,4
OR-S-19975180,OR-53520,PRD-00012,4
OR-B-82456801,OR-18380,PRD-00073,3
OR-C-29523429,OR-18380,PRD-00361,3
