PaymentID,OrderID,PaymentDate,GiftCardUsage,GiftCardAmount,CouponUsage,CouponAmount,PaymentMethodID
PAY-084025,OR-084073,2023-05-27 02:22:00+00:00,Yes,4611.0,Yes,382.0,PM-002
PAY-084026,OR-084074,2015-02-21 21:08:00+00:00,Yes,4331.0,Yes,340.0,PM-002
PAY-084027,OR-084075,2021-11-19 23:19:00+00:00,Yes,1990.0,No,,PM-001
PAY-084028,OR-084076,2018-03-18 13:40:00+00:00,No,,No,,PM-004
PAY-084029,OR-084077,2017-01-18 16:31:00+00:00,No,,No,,PM-002
PAY-084030,OR-084078,2023-07-09 22:14:00+00:00,Yes,2712.0,No,,PM-002
PAY-084031,OR-084079,2010-10-12 23:32:00+00:00,No,,Yes,407.0,PM-004
PAY-084032,OR-084080,2024-04-25 07:04:00+00:00,No,,Yes,389.0,PM-002
PAY-084033,OR-084081,2020-07-07 21:44:00+00:00,No,,Yes,25.0,PM-002
PAY-084034,OR-084082,2022-07-31 07:31:00+00:00,Yes,1970.0,No,,PM-002
PAY-084035,OR-084083,2021-04-23 18:04:00+00:00,Yes,3627.0,Yes,422.0,PM-002
PAY-084036,OR-084084,2024-04-13 16:45:00+00:00,No,,No,,PM-002
PAY-084037,OR-084085,2015-06-09 22:19:00+00:00,Yes,1937.0,No,,PM-002
PAY-084038,OR-084086,2024-03-31 01:11:00+00:00,No,,No,,PM-004
PAY-084039,OR-084087,2024-04-29 07:53:00+00:00,Yes,1009.0,Yes,94.0,PM-005
PAY-084040,OR-084088,2016-07-07 21:37:00+00:00,No,,Yes,144.0,PM-001
PAY-084041,OR-084089,2024-01-23 20:19:00+00:00,Yes,4687.0,No,,PM-003
PAY-084042,OR-084090,2023-11-16 15:13:00+00:00,No,,Yes,198.0,PM-003
PAY-084043,OR-084091,2021-05-31 01:45:00+00:00,Yes,2414.0,Yes,53.0,PM-002
PAY-084044,OR-084092,2021-05-16 10:47:00+00:00,No,,No,,PM-002
PAY-084045,OR-084093,2023-07-10 10:16:00+00:00,Yes,1847.0,Yes,311.0,PM-002
PAY-084046,OR-084094,2022-09-19 12:12:00+00:00,Yes,1954.0,Yes,292.0,PM-001
PAY-084047,OR-084095,2024-02-07 15:09:00+00:00,Yes,278.0,Yes,401.0,PM-001
PAY-084048,OR-084096,2024-02-04 11:41:00+00:00,No,,No,,PM-002
PAY-084049,OR-084097,2019-08-08 16:25:00+00:00,Yes,1031.0,Yes,313.0,PM-002
PAY-084050,OR-084098,2020-10-10 12:25:00+00:00,No,,Yes,373.0,PM-002
PAY-084051,OR-084099,2019-09-24 03:50:00+00:00,Yes,208.0,Yes,239.0,PM-004
PAY-084052,OR-084100,2023-03-20 11:02:00+00:00,No,,No,,PM-002
PAY-084053,OR-084101,2022-05-30 22:55:00+00:00,No,,Yes,391.0,PM-002
PAY-084054,OR-084102,2023-01-12 08:01:00+00:00,No,,Yes,352.0,PM-002
PAY-084055,OR-084103,2017-08-18 18:27:00+00:00,Yes,2499.0,No,,PM-002
PAY-084056,OR-084104,2010-11-27 10:23:00+00:00,Yes,911.0,Yes,56.0,PM-002
PAY-084057,OR-084105,2000-10-27 04:40:00+00:00,No,,Yes,318.0,PM-003
PAY-084058,OR-084106,2016-07-14 19:44:00+00:00,No,,No,,PM-002
PAY-084059,OR-084107,2016-06-05 02:29:00+00:00,No,,No,,PM-003
PAY-084060,OR-084108,2023-01-28 12:32:00+00:00,No,,No,,PM-002
PAY-084061,OR-084109,2022-10-29 10:27:00+00:00,No,,Yes,111.0,PM-002
PAY-084062,OR-084110,2013-08-18 12:10:00+00:00,Yes,2680.0,No,,PM-002
PAY-084063,OR-084111,2021-03-06 21:31:00+00:00,No,,Yes,13.0,PM-004
PAY-084064,OR-084112,2022-06-25 01:31:00+00:00,No,,Yes,168.0,PM-002
PAY-084065,OR-084113,2023-05-16 18:32:00+00:00,No,,No,,PM-002
PAY-084066,OR-084114,2015-11-03 19:41:00+00:00,Yes,1348.0,No,,PM-004
PAY-084067,OR-084115,2019-12-10 04:18:00+00:00,Yes,4662.0,Yes,140.0,PM-002
PAY-084068,OR-084116,2018-10-05 06:06:00+00:00,No,,No,,PM-005
PAY-084069,OR-084117,2015-07-23 23:15:00+00:00,Yes,4150.0,Yes,244.0,PM-002
PAY-084070,OR-084118,2023-03-04 20:41:00+00:00,No,,No,,PM-002
PAY-084071,OR-084119,2010-09-14 19:53:00+00:00,Yes,3495.0,No,,PM-002
PAY-084072,OR-084120,2022-10-14 21:57:00+00:00,Yes,1569.0,No,,PM-002
PAY-084073,OR-084121,2024-06-08 21:30:00+00:00,Yes,2609.0,Yes,174.0,PM-002
PAY-084074,OR-084122,2010-03-02 05:56:00+00:00,No,,No,,PM-001
PAY-084075,OR-084123,2022-12-04 07:08:00+00:00,Yes,4624.0,No,,PM-004
PAY-084076,OR-084124,2023-04-13 10:39:00+00:00,No,,Yes,101.0,PM-004
PAY-084077,OR-084125,2023-08-17 20:09:00+00:00,Yes,1682.0,Yes,277.0,PM-002
PAY-084078,OR-084126,2024-01-28 22:06:00+00:00,No,,Yes,75.0,PM-002
PAY-084079,OR-084127,2019-02-20 05:18:00+00:00,Yes,264.0,Yes,249.0,PM-002
PAY-084080,OR-084128,2012-10-04 10:37:00+00:00,Yes,2701.0,Yes,264.0,PM-002
PAY-084081,OR-084129,2021-03-20 02:20:00+00:00,No,,No,,PM-002
PAY-084082,OR-084130,2021-12-02 10:15:00+00:00,Yes,1065.0,No,,PM-002
PAY-084083,OR-084131,2010-03-29 01:10:00+00:00,No,,Yes,28.0,PM-004
PAY-084084,OR-084132,2015-02-19 08:23:00+00:00,No,,Yes,358.0,PM-003
PAY-084085,OR-084133,2020-08-01 20:17:00+00:00,Yes,2232.0,No,,PM-002
PAY-084086,OR-084134,2023-09-29 02:08:00+00:00,Yes,1480.0,No,,PM-002
PAY-084087,OR-084135,2023-12-07 07:41:00+00:00,Yes,3553.0,Yes,425.0,PM-001
PAY-084088,OR-084136,2024-03-18 17:59:00+00:00,No,,Yes,85.0,PM-002
PAY-084089,OR-084137,2024-04-05 10:41:00+00:00,No,,Yes,64.0,PM-002
PAY-084090,OR-084138,2019-12-14 03:42:00+00:00,Yes,374.0,No,,PM-002
PAY-084091,OR-084139,2017-05-28 21:54:00+00:00,Yes,233.0,Yes,122.0,PM-001
PAY-084092,OR-084140,2023-09-30 07:40:00+00:00,Yes,1588.0,No,,PM-004
PAY-084093,OR-084141,2021-11-21 07:06:00+00:00,Yes,4250.0,Yes,31.0,PM-002
