ReturnID,OrderId,ProductID,Return_reason,ReturnDate,ReturnStatus,RefundAmount,ReturnMethod
RET-000001,OR-057952,PRD-00004,Item not as described,04-01-2023,Pending,0,Courier
RET-000002,OR-110629,PRD-00004,Delayed delivery,11-01-2023,Approved,8969.42,Pickup
RET-000003,OR-017279,PRD-00008,Item not as described,21-01-2023,Approved,7290.66,Courier
RET-000004,OR-031043,PRD-00006,Item not as described,06-01-2023,Approved,3175.6,Store_Drop
RET-000005,OR-053637,PRD-00054,Poor customer service,21-01-2023,Approved,10967.48,Pickup
RET-000006,OR-071047,PRD-00135,Incorrect item shipped,11-01-2023,Refunded,3069.55,Courier
RET-000007,OR-021731,PRD-00014,Item not as described,17-01-2023,Approved,3695.52,Courier
RET-000008,OR-100972,PRD-00026,Delayed delivery,07-01-2023,Approved,4869.16,Courier
RET-000009,OR-071982,PRD-00068,Incorrect item shipped,12-01-2023,Rejected,0,Courier
RET-000010,OR-006770,PRD-00396,Poor customer service,21-01-2023,Approved,3897.84,Store_Drop
RET-000011,OR-028875,PRD-00001,No longer needed,21-01-2023,Approved,10038.15,Store_Drop
RET-000012,OR-077892,PRD-00001,Delayed delivery,10-01-2023,Pending,0,Courier
RET-000013,OR-007936,PRD-00001,Delayed delivery,11-01-2023,Rejected,0,Courier
RET-000014,OR-002305,PRD-00137,Poor customer service,11-01-2023,Rejected,0,Courier
RET-000015,OR-059958,PRD-00011,Delayed delivery,12-01-2023,Refunded,7810.37,Courier
RET-000016,OR-043719,PRD-00161,Changed mind,15-01-2023,Approved,1992.25,Courier
RET-000017,OR-125782,PRD-00003,Damaged item,09-01-2023,Refunded,8884.96,Courier
RET-000018,OR-083373,PRD-00152,Delayed delivery,16-01-2023,Approved,7920.38,Pickup
RET-000019,OR-044820,PRD-00001,Poor customer service,14-01-2023,Rejected,0,Courier
RET-000020,OR-066090,PRD-00003,Changed mind,05-01-2023,Rejected,0,Courier
RET-000021,OR-052584,PRD-00046,Incorrect item shipped,12-01-2023,Approved,2926.3,Store_Drop
