OrderId,Return_reason
OR-036293,Damaged item
OR-032352,Better price found elsewhere
OR-024703,Item not as described
OR-066451,Poor customer service
OR-097347,No longer needed
OR-018660,Incorrect item shipped
OR-031997,Changed mind
OR-113546,Better price found elsewhere
OR-028843,Delayed delivery
OR-097691,Received wrong quantity
OR-017176,Incorrect item shipped
OR-017253,Incorrect item shipped
OR-075619,Product no longer wanted
OR-002017,Received wrong quantity
OR-011937,Better price found elsewhere
OR-046369,Delayed delivery
OR-109936,Incorrect item shipped
OR-119942,Delayed delivery
OR-047812,No longer needed
OR-093344,Incorrect item shipped
OR-033396,Damaged item
OR-011979,Delayed delivery
OR-085646,Better price found elsewhere
OR-120790,Delayed delivery
OR-119259,Changed mind
OR-091102,Received wrong quantity
OR-070707,Incorrect item shipped
OR-125783,Incorrect item shipped
OR-096643,Damaged item
OR-014702,Received wrong quantity
OR-074335,Received wrong quantity
OR-053312,No longer needed
OR-037639,Changed mind
OR-066856,Item not as described
OR-099131,Better price found elsewhere
OR-110085,No longer needed
OR-027976,Received wrong quantity
OR-007570,Changed mind
OR-051235,Damaged item
OR-020136,No longer needed
OR-055325,No longer needed
OR-117377,Item not as described
OR-042200,Product no longer wanted
OR-015980,Product no longer wanted
OR-002400,Delayed delivery
OR-000037,Damaged item
OR-079932,Product no longer wanted
OR-070126,Damaged item
OR-104479,Better price found elsewhere
OR-039136,Item not as described
OR-055021,Better price found elsewhere
OR-071244,Changed mind
OR-090471,Changed mind
OR-029985,Product no longer wanted
OR-120868,Incorrect item shipped
OR-005264,Damaged item
OR-123052,Item not as described
OR-069817,Item not as described
OR-111885,Product no longer wanted
OR-014727,Received wrong quantity
OR-014160,Delayed delivery
OR-016188,Poor customer service
OR-040997,Received wrong quantity
OR-118035,Poor customer service
OR-118604,Product no longer wanted
OR-021524,Delayed delivery
OR-095118,No longer needed
OR-044482,Item not as described
OR-115325,Received wrong quantity
OR-051569,Item not as described
OR-063961,Damaged item
OR-084481,Damaged item
OR-122781,Item not as described
OR-111651,Changed mind
OR-003202,Delayed delivery
OR-004544,Received wrong quantity
OR-121233,Better price found elsewhere
OR-030634,Better price found elsewhere
OR-042326,Changed mind
OR-072090,Item not as described
OR-028068,Better price found elsewhere
OR-031794,Incorrect item shipped
OR-025046,No longer needed
OR-115034,Delayed delivery
OR-059249,Poor customer service
OR-112398,No longer needed
OR-088095,Product no longer wanted
OR-006206,Damaged item
OR-093718,Changed mind
OR-072564,Incorrect item shipped
OR-062990,Incorrect item shipped
OR-081857,Changed mind
OR-002033,Changed mind
OR-038913,Poor customer service
OR-083149,Product no longer wanted
OR-120115,Received wrong quantity
OR-037318,No longer needed
OR-074888,Changed mind
OR-009561,Received wrong quantity
OR-073494,Better price found elsewhere
OR-077923,Poor customer service
OR-106583,Changed mind
OR-083348,Changed mind
OR-041702,Damaged item
OR-066408,Product no longer wanted
OR-056523,Item not as described
OR-059474,Changed mind
OR-114856,Delayed delivery
OR-117378,Delayed delivery
OR-002857,No longer needed
OR-114160,Better price found elsewhere
OR-040770,Changed mind
OR-040868,Product no longer wanted
OR-037093,Poor customer service
OR-083927,Item not as described
OR-024137,Changed mind
OR-002553,Damaged item
OR-087360,Poor customer service
OR-060759,Product no longer wanted
OR-002206,Damaged item
OR-064242,Better price found elsewhere
OR-061325,Damaged item
OR-018534,Received wrong quantity
OR-017406,Better price found elsewhere
OR-000511,Damaged item
OR-050350,Delayed delivery
OR-122932,Item not as described
OR-081464,Changed mind
OR-022692,Better price found elsewhere
OR-060967,No longer needed
OR-083076,Received wrong quantity
OR-067523,Product no longer wanted
OR-010490,Better price found elsewhere
OR-076307,No longer needed
OR-014690,Incorrect item shipped
OR-077431,Damaged item
OR-068834,Changed mind
OR-039719,Item not as described
OR-104530,Item not as described
OR-049092,Better price found elsewhere
OR-097314,Incorrect item shipped
OR-004545,No longer needed
OR-115518,No longer needed
OR-014523,Poor customer service
OR-091288,Changed mind
OR-109156,Item not as described
OR-073789,No longer needed
OR-020560,Item not as described
OR-058407,Changed mind
OR-050394,Poor customer service
OR-116713,Delayed delivery
OR-111122,Changed mind
OR-101888,Poor customer service
OR-028057,Product no longer wanted
OR-065756,Item not as described
OR-104997,Received wrong quantity
OR-035190,Delayed delivery
OR-073058,Incorrect item shipped
OR-038761,Delayed delivery
OR-027449,Product no longer wanted
OR-068118,Poor customer service
OR-080204,Poor customer service
OR-002028,Changed mind
OR-089485,Better price found elsewhere
OR-076426,Damaged item
OR-095347,No longer needed
OR-072628,Incorrect item shipped
OR-008225,Product no longer wanted
OR-074877,Damaged item
OR-059913,Product no longer wanted
OR-015468,Delayed delivery
OR-013643,Better price found elsewhere
OR-109396,Damaged item
OR-107402,Damaged item
OR-007718,Received wrong quantity
OR-041289,Incorrect item shipped
OR-018921,Received wrong quantity
OR-030873,Incorrect item shipped
OR-022858,Delayed delivery
OR-073328,Item not as described
OR-098886,Delayed delivery
OR-076214,Product no longer wanted
OR-107828,Item not as described
OR-023009,Better price found elsewhere
OR-048547,Damaged item
OR-095958,No longer needed
OR-067344,Delayed delivery
OR-014108,Poor customer service
OR-108610,Received wrong quantity
OR-106411,Received wrong quantity
OR-049552,Changed mind
OR-026611,Received wrong quantity
OR-035307,Damaged item
OR-073921,Damaged item
OR-057715,Poor customer service
OR-111779,Item not as described
OR-110959,Changed mind
OR-073764,No longer needed
OR-101366,Item not as described
OR-045608,No longer needed
OR-086837,No longer needed
OR-030499,Product no longer wanted
OR-123814,Delayed delivery
OR-065948,Received wrong quantity
OR-069011,Better price found elsewhere
OR-123457,Delayed delivery
OR-124612,Damaged item
OR-051979,Product no longer wanted
OR-084591,Incorrect item shipped
OR-012629,Changed mind
OR-018871,No longer needed
OR-047461,Delayed delivery
OR-071947,No longer needed
OR-072730,No longer needed
OR-026870,Delayed delivery
OR-000383,Received wrong quantity
OR-044973,No longer needed
OR-081712,Poor customer service
OR-088963,Incorrect item shipped
OR-085146,Better price found elsewhere
OR-090430,Delayed delivery
OR-044926,Incorrect item shipped
OR-005540,Changed mind
OR-028093,Received wrong quantity
OR-072475,Changed mind
OR-049196,Product no longer wanted
OR-046225,Damaged item
OR-060668,Changed mind
OR-026132,No longer needed
OR-046508,Incorrect item shipped
OR-052688,Poor customer service
OR-044072,No longer needed
OR-115647,Product no longer wanted
OR-098064,Changed mind
OR-034734,Delayed delivery
OR-100564,Damaged item
OR-010222,Delayed delivery
OR-095053,Item not as described
OR-108575,Item not as described
OR-103770,Received wrong quantity
OR-029964,No longer needed
OR-080526,Better price found elsewhere
OR-014180,Delayed delivery
OR-053324,No longer needed
OR-112714,Incorrect item shipped
OR-107427,Received wrong quantity
OR-029175,Better price found elsewhere
OR-068631,No longer needed
OR-113493,Received wrong quantity
OR-013658,Product no longer wanted
OR-103850,Received wrong quantity
OR-121880,Received wrong quantity
OR-025011,Received wrong quantity
OR-047930,Incorrect item shipped
OR-030691,Better price found elsewhere
OR-061548,Changed mind
OR-081901,Product no longer wanted
OR-104812,No longer needed
OR-078028,Damaged item
OR-041926,Better price found elsewhere
OR-106849,Better price found elsewhere
OR-007619,Poor customer service
OR-024326,Delayed delivery
OR-006352,Delayed delivery
OR-112735,Poor customer service
OR-092118,Delayed delivery
OR-076077,Incorrect item shipped
OR-052998,Delayed delivery
OR-112693,Product no longer wanted
OR-000196,Better price found elsewhere
OR-017144,Product no longer wanted
OR-003589,Changed mind
OR-055583,Damaged item
OR-071560,Damaged item
OR-066387,Changed mind
OR-065451,Product no longer wanted
OR-103562,Item not as described
OR-009213,Poor customer service
OR-055017,No longer needed
OR-088690,Received wrong quantity
OR-012586,Delayed delivery
OR-109470,Received wrong quantity
OR-069369,No longer needed
OR-053016,Poor customer service
OR-075341,Item not as described
OR-112984,Better price found elsewhere
OR-110501,No longer needed
OR-089327,Item not as described
OR-113135,Better price found elsewhere
OR-103552,Incorrect item shipped
OR-105470,Poor customer service
OR-090203,Incorrect item shipped
OR-034792,Changed mind
OR-090941,Damaged item
OR-123538,No longer needed
OR-015325,Product no longer wanted
OR-106101,Damaged item
OR-099298,Poor customer service
OR-031572,Poor customer service
OR-102723,Delayed delivery
OR-051670,Incorrect item shipped
OR-010038,Incorrect item shipped
OR-044534,Changed mind
OR-029949,Changed mind
OR-084116,Changed mind
OR-042793,Better price found elsewhere
OR-114888,No longer needed
OR-087289,Poor customer service
OR-109785,Damaged item
OR-006564,No longer needed
OR-022220,No longer needed
OR-006805,Product no longer wanted
OR-091620,Better price found elsewhere
OR-037077,Damaged item
OR-074111,Damaged item
OR-031214,Changed mind
OR-122714,Poor customer service
OR-036547,Damaged item
OR-002916,Item not as described
OR-054763,Changed mind
OR-032168,Delayed delivery
OR-120224,Better price found elsewhere
OR-024930,Received wrong quantity
OR-028201,Better price found elsewhere
OR-070956,Delayed delivery
OR-013636,No longer needed
OR-102847,Poor customer service
OR-003627,Delayed delivery
OR-050202,No longer needed
OR-047286,No longer needed
OR-018313,Received wrong quantity
OR-122363,Poor customer service
OR-029679,Damaged item
OR-125097,Incorrect item shipped
OR-101573,Product no longer wanted
OR-034268,Better price found elsewhere
OR-020450,Item not as described
OR-066973,Received wrong quantity
OR-075448,Better price found elsewhere
OR-079488,Product no longer wanted
OR-020486,No longer needed
OR-117891,Better price found elsewhere
OR-041469,Received wrong quantity
OR-005099,Product no longer wanted
OR-075663,Product no longer wanted
OR-124658,Incorrect item shipped
OR-026752,Changed mind
OR-011085,Item not as described
OR-123880,Item not as described
OR-060431,Damaged item
OR-013439,Poor customer service
OR-103841,Damaged item
OR-005210,Product no longer wanted
OR-095908,Poor customer service
OR-019285,Changed mind
OR-050510,Poor customer service
OR-096107,Changed mind
OR-016932,Incorrect item shipped
OR-110107,Changed mind
OR-064024,Product no longer wanted
OR-000815,Received wrong quantity
OR-010655,Incorrect item shipped
OR-085761,No longer needed
OR-117842,Delayed delivery
OR-109092,Poor customer service
OR-059378,Delayed delivery
OR-018332,Better price found elsewhere
OR-073123,Product no longer wanted
OR-120765,Delayed delivery
OR-021318,Incorrect item shipped
OR-011920,Better price found elsewhere
OR-014259,Product no longer wanted
OR-063923,Product no longer wanted
OR-011391,Item not as described
OR-118815,Poor customer service
OR-106963,Changed mind
OR-014553,Received wrong quantity
OR-067039,Product no longer wanted
OR-029143,Product no longer wanted
OR-003342,Better price found elsewhere
OR-082706,Item not as described
OR-108999,No longer needed
OR-103089,Damaged item
OR-094337,Item not as described
OR-027936,Delayed delivery
OR-016639,Delayed delivery
OR-000127,Incorrect item shipped
OR-055466,Product no longer wanted
OR-089371,Incorrect item shipped
OR-060621,Product no longer wanted
OR-052731,Better price found elsewhere
OR-124301,Product no longer wanted
OR-045781,Poor customer service
OR-008993,No longer needed
OR-040360,Poor customer service
OR-104186,Incorrect item shipped
OR-006499,Product no longer wanted
OR-107792,Damaged item
OR-058278,Item not as described
OR-046487,Better price found elsewhere
OR-001488,Delayed delivery
OR-066318,Better price found elsewhere
OR-042465,Delayed delivery
OR-064494,Incorrect item shipped
OR-105360,Incorrect item shipped
OR-116838,No longer needed
OR-049746,Poor customer service
OR-088573,No longer needed
OR-057621,Better price found elsewhere
OR-009648,Product no longer wanted
OR-087337,Product no longer wanted
OR-101495,Item not as described
OR-107575,Damaged item
OR-030977,No longer needed
OR-021011,Incorrect item shipped
OR-009071,Delayed delivery
OR-080037,Better price found elsewhere
OR-068789,Item not as described
OR-017908,Incorrect item shipped
OR-078028,Poor customer service
OR-075087,Received wrong quantity
OR-063245,Damaged item
OR-121110,Item not as described
OR-092275,Changed mind
OR-084193,No longer needed
OR-046237,Damaged item
OR-063030,No longer needed
OR-005787,Product no longer wanted
OR-023425,Better price found elsewhere
OR-015256,Item not as described
OR-094707,Item not as described
OR-024823,Received wrong quantity
OR-096055,Product no longer wanted
OR-067271,Delayed delivery
OR-064408,Changed mind
OR-084963,Delayed delivery
OR-050444,No longer needed
OR-109325,Product no longer wanted
OR-008535,Incorrect item shipped
OR-096768,Changed mind
OR-117646,Received wrong quantity
OR-025249,Item not as described
OR-093447,Delayed delivery
OR-073285,No longer needed
OR-024783,Better price found elsewhere
OR-085561,Poor customer service
OR-098699,Product no longer wanted
OR-032035,Incorrect item shipped
OR-105764,Delayed delivery
OR-100896,No longer needed
OR-055899,Poor customer service
OR-097732,Poor customer service
OR-098907,No longer needed
OR-086967,Changed mind
OR-089751,Incorrect item shipped
OR-101943,Incorrect item shipped
OR-055929,Better price found elsewhere
OR-060632,No longer needed
OR-113548,Damaged item
OR-034539,Delayed delivery
OR-018630,Damaged item
OR-027892,Delayed delivery
OR-098032,Item not as described
OR-100311,Item not as described
OR-094681,Received wrong quantity
OR-119104,Incorrect item shipped
OR-063456,Product no longer wanted
OR-080876,Delayed delivery
OR-091689,No longer needed
OR-020768,Damaged item
OR-003309,Damaged item
OR-007311,Received wrong quantity
