OrderItemID,OrderID,ProductID,Quantity
OR-C-25138814,OR-44474,PRD-00006,1
OR-GDJ-38119351,OR-44474,PRD-00002,2
OR-BL-57389030,OR-44474,PRD-00001,1
OR-AE-82260148,OR-42894,PRD-00106,2
OR-J-82126850,OR-42894,PRD-00472,1
OR-W-48671842,OR-26677,PRD-00010,2
OR-C-95517168,OR-26677,PRD-00138,5
OR-BF-13390323,OR-26677,PRD-00032,5
OR-GDJ-14153175,OR-26677,PRD-00007,5
OR-BL-40715959,OR-26677,PRD-00183,5
OR-CS-57890194,OR-12847,PRD-00001,5
OR-MF-45890677,OR-12847,PRD-00002,5
OR-CP-83529215,OR-12847,PRD-00010,2
OR-H-81367150,OR-26434,PRD-00001,4
OR-CS-82752180,OR-26434,PRD-00001,2
OR-W-79154681,OR-26434,PRD-00002,2
OR-SS-93594198,OR-26434,PRD-00029,4
OR-FSJ-39944475,OR-13516,PRD-00319,5
OR-TG-80635859,OR-31419,PRD-00181,5
OR-FSJ-84465595,OR-99783,PRD-00003,5
OR-C-40824805,OR-99783,PRD-00004,3
OR-FS-93198799,OR-99783,PRD-00018,1
OR-AA-33641563,OR-99783,PRD-00347,1
OR-C-38404980,OR-99783,PRD-00010,4
OR-EW-85238748,OR-31688,PRD-00148,4
OR-H-93901454,OR-31688,PRD-00049,4
OR-CS-64175320,OR-31688,PRD-00001,5
OR-D-11645408,OR-31688,PRD-00001,1
OR-GDJ-50536040,OR-31688,PRD-00001,4
OR-FS-54659564,OR-54653,PRD-00033,5
OR-FA-66354799,OR-12200,PRD-00030,3
OR-B-31245491,OR-12200,PRD-00001,3
OR-KHA-80700069,OR-65688,PRD-00124,4
OR-C-19993259,OR-65688,PRD-00001,1
OR-SC-99527967,OR-65688,PRD-00016,2
OR-CA-82874363,OR-65688,PRD-00003,5
OR-S-90235865,OR-71123,PRD-00194,1
OR-HES-70216080,OR-71123,PRD-00199,4
OR-CTB-36175301,OR-21345,PRD-00004,5
OR-AE-49549042,OR-21345,PRD-00068,3
OR-WW-54457799,OR-21345,PRD-00004,1
OR-BL-97430026,OR-21345,PRD-00125,3
OR-WM-63310412,OR-21345,PRD-00095,2
OR-FSJ-22250123,OR-38567,PRD-00003,2
OR-TP-21723809,OR-38567,PRD-00024,2
OR-C-23066056,OR-38567,PRD-00074,4
OR-MF-30614100,OR-23879,PRD-00001,4
OR-HC-49969343,OR-23879,PRD-00001,4
OR-LN-73930955,OR-81370,PRD-00002,1
OR-EW-28032446,OR-67158,PRD-00016,2
OR-W-98165843,OR-67158,PRD-00092,3
OR-KS-70482675,OR-12306,PRD-00003,1
OR-APS-48749222,OR-12306,PRD-00004,3
OR-J-95378841,OR-12306,PRD-00008,2
OR-AEF-19357697,OR-19377,PRD-00090,2
OR-C-24833993,OR-30874,PRD-00039,1
OR-S-41399573,OR-30874,PRD-00001,3
OR-FSJ-91434718,OR-24145,PRD-00001,1
OR-I-72476001,OR-24145,PRD-00424,4
OR-GDJ-31634491,OR-24145,PRD-00089,1
OR-AE-70146889,OR-36275,PRD-00328,2
OR-SC-80646057,OR-85424,PRD-00011,1
OR-S-56164472,OR-85424,PRD-00002,3
OR-LN-87327651,OR-85424,PRD-00011,5
OR-GDJ-36287099,OR-85424,PRD-00242,1
OR-C-50757940,OR-79674,PRD-00115,4
OR-KD-11652634,OR-79674,PRD-00111,3
OR-AE-78813469,OR-79674,PRD-00001,1
OR-EW-83505713,OR-62778,PRD-00001,5
OR-MF-17967077,OR-62778,PRD-00013,3
OR-S-85780671,OR-62778,PRD-00008,2
OR-SS-48036466,OR-62778,PRD-00028,2
OR-TP-63276816,OR-59218,PRD-00326,5
OR-BL-18908382,OR-59218,PRD-00005,4
OR-CTB-18331207,OR-38091,PRD-00004,2
OR-EW-56159542,OR-38091,PRD-00002,4
OR-HCA-42604843,OR-38091,PRD-00002,3
OR-W-98901850,OR-38091,PRD-00025,2
OR-SC-74334669,OR-93018,PRD-00013,5
OR-W-94838414,OR-93018,PRD-00007,4
OR-CS-57052828,OR-64070,PRD-00070,4
OR-AA-86148367,OR-64070,PRD-00295,3
OR-S-90432299,OR-36559,PRD-00009,5
OR-BG-82824375,OR-36559,PRD-00001,1
OR-GDJ-55191633,OR-36559,PRD-00011,1
OR-S-98667540,OR-46353,PRD-00218,5
OR-W-81207054,OR-46353,PRD-00119,4
OR-SC-23401150,OR-97732,PRD-00006,1
OR-B-26310419,OR-97732,PRD-00251,3
OR-J-26679369,OR-97732,PRD-00083,4
OR-S-79774150,OR-97732,PRD-00008,4
OR-AE-67226279,OR-97732,PRD-00007,4
OR-D-83478983,OR-35688,PRD-00004,3
OR-S-41686622,OR-35688,PRD-00001,5
OR-GDJ-97307477,OR-25380,PRD-00003,3
OR-TP-62089035,OR-25380,PRD-00019,5
OR-AA-69126588,OR-25380,PRD-00001,4
OR-TA-53922543,OR-40907,PRD-00028,2
OR-LN-53671413,OR-40907,PRD-00006,2
OR-EW-75246092,OR-40907,PRD-00046,4
OR-EW-56935706,OR-72060,PRD-00120,5
OR-FSJ-60514926,OR-72060,PRD-00123,3
