PaymentID,OrderID,PaymentDate,GiftCardUsage,GiftCardAmount,CouponUsage,CouponAmount,PaymentMethodID
PAY-21790,OR-92942,2018-11-24 13:12:00,No,,Yes,440.0,PM-004
PAY-83229,OR-81240,2024-06-26 17:22:00,No,,No,,PM-002
PAY-93090,OR-60027,2007-07-06 12:41:00,Yes,4554.0,Yes,40.0,PM-005
PAY-31345,OR-62812,2022-03-09 20:14:00,No,,Yes,243.0,PM-002
PAY-58875,OR-71246,2023-12-10 17:18:00,No,,No,,PM-002
PAY-25721,OR-14205,2019-09-21 05:52:00,No,,No,,PM-002
PAY-44073,OR-84772,2022-09-20 11:47:00,No,,No,,PM-002
PAY-93365,OR-78522,2023-04-23 11:19:00,No,,Yes,19.0,PM-002
PAY-99952,OR-53790,2019-09-08 18:05:00,Yes,1122.0,No,,PM-002
PAY-89739,OR-75230,2017-05-16 22:00:00,No,,Yes,188.0,PM-003
PAY-28036,OR-14017,2024-04-29 05:13:00,Yes,4040.0,Yes,118.0,PM-002
PAY-83298,OR-22606,2013-05-03 14:29:00,No,,Yes,19.0,PM-005
PAY-60379,OR-78630,2015-05-13 18:40:00,Yes,3018.0,No,,PM-002
PAY-73459,OR-49124,2021-09-11 07:35:00,Yes,1850.0,Yes,244.0,PM-002
PAY-30427,OR-78704,2024-06-18 23:04:00,Yes,4494.0,Yes,93.0,PM-002
PAY-51980,OR-62804,2024-06-14 13:53:00,Yes,1004.0,No,,PM-002
PAY-19844,OR-17468,2010-07-12 14:59:00,No,,Yes,284.0,PM-004
PAY-46791,OR-24766,2024-03-01 22:02:00,Yes,1158.0,Yes,218.0,PM-002
PAY-71077,OR-83570,2024-06-10 08:31:00,Yes,3556.0,No,,PM-002
PAY-95289,OR-53877,2021-01-04 23:25:00,No,,No,,PM-002
PAY-16977,OR-38911,2024-05-19 09:49:00,Yes,4729.0,No,,PM-002
PAY-48562,OR-93662,2009-12-11 16:09:00,No,,No,,PM-002
PAY-33614,OR-55733,2023-05-28 02:09:00,Yes,3426.0,No,,PM-002
PAY-40606,OR-71290,2009-05-14 21:40:00,Yes,1357.0,No,,PM-002
PAY-23838,OR-58230,2024-06-26 11:43:00,Yes,2443.0,No,,PM-002
PAY-38902,OR-83259,2024-02-06 15:30:00,No,,No,,PM-002
PAY-57790,OR-45647,2023-07-24 17:06:00,Yes,758.0,Yes,490.0,PM-002
PAY-87365,OR-18077,2022-10-08 02:43:00,No,,Yes,472.0,PM-005
PAY-37432,OR-49473,2014-12-04 07:04:00,No,,No,,PM-002
PAY-29281,OR-28823,2023-07-10 15:28:00,Yes,448.0,Yes,31.0,PM-002
PAY-60425,OR-82260,2017-01-07 02:40:00,No,,Yes,460.0,PM-001
PAY-13489,OR-94218,2023-01-21 01:39:00,Yes,1241.0,No,,PM-002
PAY-53176,OR-81184,2023-08-28 13:52:00,No,,Yes,215.0,PM-005
PAY-46858,OR-84315,2021-10-10 19:44:00,No,,No,,PM-002
PAY-61127,OR-55818,2023-10-23 00:29:00,Yes,3139.0,No,,PM-002
PAY-81769,OR-68009,2021-04-17 19:14:00,No,,No,,PM-001
PAY-13499,OR-20694,2007-04-02 23:32:00,No,,Yes,218.0,PM-005
PAY-41976,OR-14602,2021-11-16 09:41:00,Yes,3867.0,No,,PM-002
PAY-53586,OR-98159,2023-03-23 04:13:00,No,,No,,PM-004
PAY-11942,OR-39999,2024-03-29 21:52:00,Yes,750.0,Yes,445.0,PM-002
PAY-79217,OR-40815,2024-06-26 21:38:00,Yes,4253.0,No,,PM-002
PAY-94553,OR-76903,2022-12-01 19:57:00,Yes,3496.0,No,,PM-005
PAY-69068,OR-32035,2017-10-13 10:16:00,No,,No,,PM-005
PAY-68340,OR-26610,2017-02-02 12:40:00,No,,Yes,46.0,PM-002
PAY-78224,OR-56458,2020-05-03 23:53:00,No,,No,,PM-002
PAY-16718,OR-56876,2021-09-13 12:00:00,Yes,654.0,Yes,202.0,PM-003
PAY-63443,OR-83198,2016-03-22 01:59:00,No,,Yes,185.0,PM-002
PAY-54230,OR-72741,2024-03-19 19:50:00,No,,Yes,341.0,PM-002
PAY-62956,OR-88929,2021-06-30 03:35:00,No,,No,,PM-002
PAY-24209,OR-95243,2017-01-23 18:23:00,No,,No,,PM-002
PAY-33647,OR-28706,2023-08-24 03:28:00,No,,No,,PM-005
PAY-35696,OR-69759,2021-12-12 06:14:00,Yes,128.0,Yes,467.0,PM-002
PAY-16884,OR-44624,2020-01-30 05:32:00,Yes,4617.0,Yes,99.0,PM-002
PAY-90815,OR-21820,2024-06-10 22:03:00,Yes,309.0,Yes,491.0,PM-003
PAY-14013,OR-66156,2023-12-04 14:05:00,Yes,4800.0,No,,PM-002
PAY-45462,OR-53344,2020-08-10 08:29:00,No,,No,,PM-003
