OrderID,CustomerID,OrderDate,ShippingDate,ExpectedDeliveryDate,ActualDeliveryDate,ShippingTierID,SupplierID,OrderChannel
OR-10002,CUST-02774,2019-11-17 23:07:00,2019-11-23 17:56:00,2019-12-09 14:16:00,2019-12-21 04:47:00,SHP-001,SUP-01,Online
OR-10004,CUST-16058,2021-03-15 16:47:00,2021-03-15 16:55:00,2021-03-15 17:16:00,2021-03-15 17:16:00,SHP-004,SUP-07,Retail PoS
OR-10027,CUST-03552,2021-09-24 04:22:00,2021-09-24 04:30:00,2021-09-24 04:49:00,2021-09-24 04:43:00,SHP-004,SUP-10,Retail PoS
OR-10033,CUST-05284,2023-11-10 21:27:00,2023-11-19 04:29:00,2023-12-06 08:32:00,2023-11-26 23:03:00,SHP-002,SUP-07,Online
OR-10040,CUST-19073,2024-02-28 09:38:00,2024-02-28 09:43:00,2024-02-28 10:06:00,2024-02-28 09:59:00,SHP-004,SUP-05,Retail PoS
OR-10049,CUST-02042,2015-05-01 21:37:00,2015-05-02 21:46:00,2015-05-08 00:10:00,2015-05-07 11:17:00,SHP-003,SUP-07,Online
OR-10050,CUST-12421,2024-05-26 10:05:00,2024-05-26 10:12:00,2024-05-26 10:33:00,2024-05-26 10:26:00,SHP-004,SUP-09,Retail PoS
OR-10053,CUST-19507,2016-03-16 02:21:00,2016-03-16 02:27:00,2016-03-16 02:44:00,2016-03-16 02:59:00,SHP-004,SUP-04,Retail PoS
OR-10056,CUST-06619,2015-10-03 10:01:00,2015-10-03 10:10:00,2015-10-03 10:26:00,2015-10-03 10:39:00,SHP-004,SUP-09,Retail PoS
OR-10057,CUST-00034,2024-03-06 05:56:00,2024-03-09 00:02:00,2024-03-29 15:12:00,2024-04-04 03:06:00,SHP-001,SUP-10,Online
OR-10062,CUST-15523,2022-12-11 17:14:00,2022-12-20 21:26:00,2022-12-28 14:50:00,2022-12-22 17:43:00,SHP-002,SUP-07,Online
OR-10069,CUST-06773,2019-08-16 09:16:00,2019-08-16 09:26:00,2019-08-16 09:36:00,2019-08-16 09:46:00,SHP-004,SUP-07,Retail PoS
OR-10077,CUST-09157,2024-04-17 03:52:00,2024-04-26 08:42:00,2024-05-06 16:33:00,2024-04-29 15:28:00,SHP-001,SUP-01,Online
OR-10086,CUST-02544,2012-08-12 17:14:00,2012-08-15 18:43:00,2012-08-17 02:04:00,2012-08-17 01:36:00,SHP-002,SUP-09,Online
OR-10094,CUST-04048,2024-06-26 23:30:00,2024-06-26 23:38:00,2024-06-26 23:50:00,2024-06-26 23:49:00,SHP-004,SUP-07,Retail PoS
OR-10129,CUST-05723,2020-05-03 02:33:00,2020-05-03 02:40:00,2020-05-03 03:00:00,2020-05-03 02:52:00,SHP-004,SUP-09,Retail PoS
OR-10130,CUST-17637,2024-05-13 21:44:00,2024-05-21 08:09:00,2024-06-09 23:11:00,2024-06-11 14:26:00,SHP-001,SUP-04,Online
OR-10132,CUST-17249,2022-02-06 06:34:00,2022-02-06 06:43:00,2022-02-06 06:55:00,2022-02-06 07:12:00,SHP-004,SUP-01,Retail PoS
OR-10134,CUST-08403,2024-06-28 00:59:00,2024-06-28 01:07:00,2024-06-28 01:20:00,2024-06-28 01:19:00,SHP-004,SUP-10,Retail PoS
OR-10150,CUST-02442,2024-07-03 20:32:00,2024-07-14 12:51:00,2024-07-24 11:17:00,2024-07-17 21:44:00,SHP-003,SUP-04,Online
OR-10157,CUST-05538,2023-11-24 09:11:00,2023-11-24 09:21:00,2023-11-24 09:36:00,2023-11-24 09:31:00,SHP-004,SUP-09,Retail PoS
OR-10159,CUST-08058,2023-05-22 18:10:00,2023-05-22 18:19:00,2023-05-22 18:34:00,2023-05-22 18:49:00,SHP-004,SUP-01,Retail PoS
OR-10165,CUST-11137,2022-10-11 01:22:00,2022-10-11 01:29:00,2022-10-11 01:50:00,2022-10-11 02:02:00,SHP-004,SUP-06,Retail PoS
OR-10173,CUST-06919,2020-12-20 10:10:00,2020-12-20 10:18:00,2020-12-20 10:33:00,2020-12-20 10:50:00,SHP-004,SUP-08,Retail PoS
OR-10175,CUST-06057,2023-09-28 07:28:00,2023-09-28 07:34:00,2023-09-28 07:53:00,2023-09-28 07:53:00,SHP-004,SUP-05,Retail PoS
OR-10177,CUST-09255,2024-04-12 05:51:00,2024-04-12 05:56:00,2024-04-12 06:21:00,2024-04-12 06:17:00,SHP-004,SUP-05,Retail PoS
OR-10178,CUST-09459,2017-03-26 02:36:00,2017-03-26 02:43:00,2017-03-26 02:58:00,2017-03-26 03:08:00,SHP-004,SUP-07,Retail PoS
OR-10185,CUST-09492,2023-10-30 17:50:00,2023-11-10 12:17:00,2023-11-30 17:38:00,2023-11-15 20:48:00,SHP-003,SUP-07,Online
OR-10196,CUST-05538,2024-06-01 03:24:00,2024-06-01 03:32:00,2024-06-01 03:54:00,2024-06-01 03:45:00,SHP-004,SUP-09,Retail PoS
OR-10209,CUST-10437,2018-10-16 03:09:00,2018-10-20 19:41:00,2018-10-22 13:53:00,2018-10-22 11:14:00,SHP-002,SUP-07,Online
OR-10210,CUST-05357,2022-09-27 05:24:00,2022-10-01 23:50:00,2022-10-12 02:36:00,2022-10-23 16:21:00,SHP-002,SUP-04,Online
OR-10218,CUST-19483,2021-05-31 02:31:00,2021-06-07 09:37:00,2021-06-20 11:28:00,2021-07-11 18:26:00,SHP-001,SUP-03,Online
OR-10219,CUST-01420,2018-12-28 06:32:00,2018-12-28 06:41:00,2018-12-28 06:55:00,2018-12-28 06:47:00,SHP-004,SUP-06,Retail PoS
OR-10228,CUST-04593,2022-01-29 05:51:00,2022-01-30 08:34:00,2022-02-15 23:32:00,2022-03-01 22:31:00,SHP-003,SUP-03,Online
OR-10245,CUST-02128,2002-07-19 21:59:00,2002-07-26 03:33:00,2002-07-27 20:54:00,2002-07-27 10:15:00,SHP-003,SUP-07,Online
OR-10250,CUST-16442,2021-09-09 22:59:00,2021-09-18 15:41:00,2021-09-24 19:05:00,2021-09-22 22:04:00,SHP-001,SUP-04,Online
OR-10252,CUST-17446,2010-10-19 00:53:00,2010-10-19 01:02:00,2010-10-19 01:18:00,2010-10-19 01:28:00,SHP-004,SUP-04,Retail PoS
OR-10253,CUST-12968,2012-04-03 07:02:00,2012-04-05 13:32:00,2012-04-12 09:24:00,2012-04-09 06:42:00,SHP-002,SUP-10,Online
OR-10257,CUST-06569,2002-07-30 21:57:00,2002-08-10 06:17:00,2002-08-22 09:50:00,2002-08-22 02:16:00,SHP-002,SUP-09,Online
OR-10266,CUST-10585,2021-12-06 08:41:00,2021-12-14 17:08:00,2021-12-19 18:15:00,2021-12-29 16:35:00,SHP-002,SUP-07,Online
OR-10270,CUST-13421,2008-06-06 16:31:00,2008-06-11 16:17:00,2008-06-11 23:36:00,2008-06-11 14:21:00,SHP-001,SUP-04,Online
OR-10272,CUST-11361,2016-12-22 15:47:00,2016-12-22 15:55:00,2016-12-22 16:09:00,2016-12-22 16:10:00,SHP-004,SUP-08,Retail PoS
OR-10276,CUST-08174,2024-06-14 09:33:00,2024-06-18 11:56:00,2024-06-19 19:25:00,2024-06-19 07:20:00,SHP-005,SUP-07,Retail PoS
OR-10278,CUST-14349,2024-06-18 10:50:00,2024-06-18 10:55:00,2024-06-18 11:17:00,2024-06-18 11:10:00,SHP-004,SUP-05,Retail PoS
OR-10280,CUST-04959,2006-05-22 20:18:00,2006-05-28 23:26:00,2006-06-10 03:50:00,2006-05-31 21:07:00,SHP-003,SUP-08,Online
OR-10282,CUST-16886,2022-05-11 16:19:00,2022-05-15 04:07:00,2022-05-30 03:39:00,2022-05-21 21:32:00,SHP-001,SUP-07,Online
OR-10285,CUST-10192,2022-08-03 18:35:00,2022-08-06 16:50:00,2022-08-17 18:12:00,2022-08-07 19:49:00,SHP-002,SUP-07,Online
OR-10295,CUST-08596,2023-07-07 10:06:00,2023-07-11 05:33:00,2023-07-18 02:51:00,2023-07-15 03:32:00,SHP-002,SUP-04,Online
OR-10298,CUST-12648,2024-01-10 22:45:00,2024-01-10 22:51:00,2024-01-10 23:05:00,2024-01-10 23:18:00,SHP-004,SUP-05,Retail PoS
OR-10299,CUST-12568,2019-12-18 10:46:00,2019-12-18 10:54:00,2019-12-18 11:14:00,2019-12-18 11:02:00,SHP-004,SUP-02,Retail PoS
OR-10300,CUST-09230,2022-07-15 18:08:00,2022-07-21 11:27:00,2022-08-04 02:34:00,2022-07-24 09:38:00,SHP-003,SUP-07,Online
OR-10304,CUST-06116,2023-05-21 19:12:00,2023-05-21 19:19:00,2023-05-21 19:33:00,2023-05-21 19:27:00,SHP-004,SUP-04,Retail PoS
OR-10307,CUST-06809,2024-05-07 22:09:00,2024-05-10 06:45:00,2024-05-30 13:55:00,2024-05-11 14:45:00,SHP-002,SUP-04,Online
OR-10310,CUST-08454,2015-05-24 03:47:00,2015-06-02 15:45:00,2015-06-03 07:33:00,2015-06-03 00:10:00,SHP-002,SUP-10,Online
OR-10321,CUST-06714,2015-10-12 18:13:00,2015-10-12 18:19:00,2015-10-12 18:43:00,2015-10-12 18:41:00,SHP-004,SUP-02,Retail PoS
OR-10323,CUST-05693,2011-08-28 10:16:00,2011-08-29 20:08:00,2011-09-09 11:10:00,2011-09-08 00:45:00,SHP-003,SUP-07,Online
OR-10329,CUST-07683,2023-12-12 15:56:00,2023-12-12 16:05:00,2023-12-12 16:17:00,2023-12-12 16:30:00,SHP-004,SUP-07,Retail PoS
OR-10348,CUST-08708,2022-04-13 18:30:00,2022-04-23 21:54:00,2022-04-28 19:53:00,2022-04-25 16:14:00,SHP-001,SUP-01,Online
OR-10352,CUST-04430,2000-04-19 08:42:00,2000-04-19 08:51:00,2000-04-19 09:04:00,2000-04-19 08:58:00,SHP-004,SUP-07,Retail PoS
OR-10362,CUST-16241,2022-03-08 21:12:00,2022-03-08 21:19:00,2022-03-08 21:39:00,2022-03-08 21:32:00,SHP-004,SUP-04,Retail PoS
OR-10363,CUST-02626,2024-02-06 19:28:00,2024-02-06 19:34:00,2024-02-06 19:55:00,2024-02-06 20:01:00,SHP-004,SUP-04,Retail PoS
OR-10366,CUST-06490,2023-11-16 02:58:00,2023-11-22 20:32:00,2023-11-25 09:40:00,2023-11-24 17:10:00,SHP-001,SUP-01,Online
OR-10367,CUST-03343,2019-05-30 22:07:00,2019-06-05 22:29:00,2019-06-17 08:29:00,2019-06-12 07:33:00,SHP-001,SUP-09,Online
OR-10370,CUST-04089,2011-10-25 08:12:00,2011-10-28 10:18:00,2011-10-28 11:39:00,2011-11-18 19:51:00,SHP-002,SUP-09,Online
OR-10384,CUST-19779,2023-02-02 22:36:00,2023-02-08 02:02:00,2023-02-18 04:34:00,2023-02-09 02:06:00,SHP-001,SUP-05,Online
OR-10403,CUST-19157,2022-06-12 18:08:00,2022-06-23 12:15:00,2022-07-05 17:34:00,2022-06-26 17:37:00,SHP-001,SUP-05,Online
OR-10416,CUST-10173,2012-09-30 09:27:00,2012-10-02 18:18:00,2012-10-16 23:07:00,2012-10-09 23:49:00,SHP-001,SUP-08,Online
