OrderItemID,OrderID,ProductID,Quantity
OR-J-283399,OR-094494,PRD-00410,1
OR-KSC-283400,OR-094494,PRD-00107,5
OR-C-283401,OR-094494,PRD-00437,4
OR-HCA-283402,OR-094494,PRD-00014,5
OR-B-283403,OR-094495,PRD-00021,3
OR-D-283404,OR-094496,PRD-00002,2
OR-C-283405,OR-094496,PRD-00003,2
OR-J-283406,OR-094497,PRD-00167,1
OR-EW-283407,OR-094497,PRD-00006,1
OR-H-283408,OR-094497,PRD-00154,4
OR-KHA-283409,OR-094498,PRD-00069,1
OR-AE-283410,OR-094498,PRD-00002,4
OR-S-283411,OR-094498,PRD-00018,3
OR-LN-283412,OR-094498,PRD-00056,1
OR-S-283413,OR-094498,PRD-00003,3
OR-R-283414,OR-094499,PRD-00158,3
OR-S-283415,OR-094500,PRD-00023,3
OR-WW-283416,OR-094500,PRD-00002,1
OR-BL-283417,OR-094501,PRD-00029,1
OR-S-283418,OR-094501,PRD-00500,3
OR-C-283419,OR-094502,PRD-00002,2
OR-S-283420,OR-094502,PRD-00144,3
OR-J-283421,OR-094502,PRD-00002,3
OR-J-283422,OR-094503,PRD-00114,1
OR-KHA-283423,OR-094503,PRD-00082,5
OR-M-283424,OR-094503,PRD-00004,1
OR-SCS-283425,OR-094503,PRD-00005,3
OR-C-283426,OR-094503,PRD-00122,2
OR-FS-283427,OR-094504,PRD-00013,2
OR-CTB-283428,OR-094505,PRD-00080,5
OR-B-283429,OR-094506,PRD-00002,4
OR-AGGF-283430,OR-094506,PRD-00184,3
OR-HES-283431,OR-094506,PRD-00070,1
OR-H-283432,OR-094506,PRD-00266,2
OR-EW-283433,OR-094507,PRD-00001,2
OR-W-283434,OR-094507,PRD-00032,3
OR-C-283435,OR-094507,PRD-00033,2
OR-S-283436,OR-094507,PRD-00006,1
OR-B-283437,OR-094508,PRD-00013,3
OR-MF-283438,OR-094509,PRD-00001,5
OR-FSJ-283439,OR-094510,PRD-00089,1
OR-C-283440,OR-094510,PRD-00023,3
OR-HC-283441,OR-094510,PRD-00001,1
OR-FS-283442,OR-094510,PRD-00057,3
OR-ACMP-283443,OR-094510,PRD-00013,2
OR-BL-283444,OR-094511,PRD-00001,3
OR-FSJ-283445,OR-094511,PRD-00407,3
OR-C-283446,OR-094511,PRD-00354,5
OR-TP-283447,OR-094511,PRD-00018,2
OR-HES-283448,OR-094511,PRD-00001,5
OR-SC-283449,OR-094512,PRD-00095,4
OR-CS-283450,OR-094512,PRD-00016,1
OR-CP-283451,OR-094512,PRD-00004,2
OR-S-283452,OR-094512,PRD-00016,5
OR-TP-283453,OR-094512,PRD-00020,4
OR-AE-283454,OR-094513,PRD-00026,1
OR-J-283455,OR-094514,PRD-00011,5
OR-KHA-283456,OR-094515,PRD-00034,3
OR-S-283457,OR-094515,PRD-00288,4
OR-AA-283458,OR-094515,PRD-00007,4
OR-BF-283459,OR-094516,PRD-00078,4
OR-J-283460,OR-094516,PRD-00244,5
OR-AE-283461,OR-094517,PRD-00012,5
OR-MF-283462,OR-094517,PRD-00011,4
OR-LN-283463,OR-094517,PRD-00034,1
OR-HCA-283464,OR-094517,PRD-00031,4
OR-HCA-283465,OR-094518,PRD-00135,5
OR-KHA-283466,OR-094518,PRD-00014,3
OR-W-283467,OR-094518,PRD-00487,4
OR-EW-283468,OR-094518,PRD-00001,3
OR-BBSG-283469,OR-094519,PRD-00001,2
OR-BP-283470,OR-094519,PRD-00043,3
OR-EW-283471,OR-094519,PRD-00004,2
OR-HES-283472,OR-094519,PRD-00003,3
OR-SS-283473,OR-094519,PRD-00005,5
OR-BL-283474,OR-094520,PRD-00003,1
OR-R-283475,OR-094520,PRD-00001,1
OR-CP-283476,OR-094520,PRD-00413,3
OR-S-283477,OR-094520,PRD-00002,4
OR-KW-283478,OR-094521,PRD-00082,5
OR-FS-283479,OR-094521,PRD-00100,2
