PaymentID,OrderID,PaymentDate,GiftCardUsage,GiftCardAmount,CouponUsage,CouponAmount,PaymentMethodID
PAY-042013,OR-042040,2023-03-06 19:03:00+00:00,No,,Yes,483.0,PM-002
PAY-042014,OR-042041,2022-07-16 02:15:00+00:00,No,,Yes,372.0,PM-002
PAY-042015,OR-042042,2020-01-04 15:11:00+00:00,No,,Yes,214.0,PM-002
PAY-042016,OR-042043,2019-01-20 12:18:00+00:00,Yes,997.0,Yes,172.0,PM-002
PAY-042017,OR-042044,2022-06-08 03:13:00+00:00,Yes,965.0,Yes,327.0,PM-004
PAY-042018,OR-042045,2001-11-06 19:20:00+00:00,No,,No,,PM-003
PAY-042019,OR-042046,2024-01-07 13:50:00+00:00,Yes,455.0,No,,PM-002
PAY-042020,OR-042047,2023-04-29 17:29:00+00:00,No,,Yes,101.0,PM-004
PAY-042021,OR-042048,2023-07-17 12:49:00+00:00,No,,Yes,241.0,PM-002
PAY-042022,OR-042049,2023-09-04 05:57:00+00:00,Yes,1505.0,Yes,414.0,PM-002
PAY-042023,OR-042050,2020-06-16 05:16:00+00:00,No,,Yes,374.0,PM-001
PAY-042024,OR-042051,2023-02-10 03:35:00+00:00,No,,No,,PM-002
PAY-042025,OR-042052,2015-02-26 20:52:00+00:00,Yes,201.0,Yes,289.0,PM-002
PAY-042026,OR-042053,2016-02-26 21:45:00+00:00,No,,Yes,279.0,PM-002
PAY-042027,OR-042054,2023-07-28 06:59:00+00:00,Yes,1781.0,No,,PM-001
PAY-042028,OR-042055,2013-11-10 14:15:00+00:00,No,,Yes,492.0,PM-002
PAY-042029,OR-042056,2021-09-13 17:39:00+00:00,No,,Yes,195.0,PM-002
PAY-042030,OR-042057,2018-12-29 15:47:00+00:00,Yes,568.0,No,,PM-002
PAY-042031,OR-042058,2021-09-14 20:10:00+00:00,Yes,3979.0,Yes,404.0,PM-002
PAY-042032,OR-042059,2023-01-21 05:57:00+00:00,No,,No,,PM-003
PAY-042033,OR-042060,2013-12-14 10:00:00+00:00,No,,Yes,385.0,PM-003
PAY-042034,OR-042061,2024-05-22 09:47:00+00:00,Yes,1819.0,No,,PM-002
PAY-042035,OR-042062,2021-11-23 07:13:00+00:00,Yes,3647.0,No,,PM-002
PAY-042036,OR-042063,2024-06-10 04:07:00+00:00,No,,Yes,424.0,PM-002
PAY-042037,OR-042064,2019-08-29 13:04:00+00:00,No,,Yes,202.0,PM-002
PAY-042038,OR-042065,2023-09-03 10:38:00+00:00,Yes,1510.0,Yes,71.0,PM-001
PAY-042039,OR-042066,2022-09-28 09:03:00+00:00,No,,No,,PM-002
PAY-042040,OR-042067,2023-01-12 15:03:00+00:00,Yes,4657.0,No,,PM-003
PAY-042041,OR-042068,2024-06-18 18:22:00+00:00,No,,Yes,477.0,PM-005
PAY-042042,OR-042069,2024-05-24 08:22:00+00:00,No,,No,,PM-003
PAY-042043,OR-042070,2024-04-13 00:19:00+00:00,Yes,3403.0,No,,PM-002
PAY-042044,OR-042071,2022-07-07 06:09:00+00:00,No,,No,,PM-001
PAY-042045,OR-042072,2021-12-02 04:54:00+00:00,No,,Yes,473.0,PM-002
PAY-042046,OR-042073,2024-04-30 07:22:00+00:00,No,,Yes,326.0,PM-005
PAY-042047,OR-042074,2024-03-05 15:00:00+00:00,Yes,4190.0,No,,PM-005
PAY-042048,OR-042075,2024-05-04 23:46:00+00:00,Yes,128.0,No,,PM-001
PAY-042049,OR-042076,2018-07-02 20:09:00+00:00,No,,Yes,313.0,PM-005
PAY-042050,OR-042077,2007-03-18 02:02:00+00:00,No,,Yes,181.0,PM-004
PAY-042051,OR-042078,2019-05-28 15:52:00+00:00,No,,Yes,313.0,PM-001
PAY-042052,OR-042079,2021-02-25 23:29:00+00:00,No,,Yes,144.0,PM-003
PAY-042053,OR-042080,2023-11-18 23:20:00+00:00,Yes,4287.0,Yes,346.0,PM-002
PAY-042054,OR-042081,2024-01-06 14:35:00+00:00,Yes,2000.0,Yes,283.0,PM-002
PAY-042055,OR-042082,2022-04-25 06:59:00+00:00,Yes,2533.0,Yes,380.0,PM-004
PAY-042056,OR-042083,2022-01-06 18:56:00+00:00,Yes,4917.0,Yes,494.0,PM-002
PAY-042057,OR-042084,2008-02-17 18:41:00+00:00,Yes,1847.0,No,,PM-005
PAY-042058,OR-042085,2024-05-09 12:26:00+00:00,No,,Yes,295.0,PM-004
PAY-042059,OR-042086,2008-10-27 06:34:00+00:00,Yes,2364.0,Yes,359.0,PM-002
PAY-042060,OR-042087,2023-08-28 09:32:00+00:00,Yes,784.0,No,,PM-004
PAY-042061,OR-042088,2023-10-31 18:18:00+00:00,Yes,704.0,No,,PM-002
PAY-042062,OR-042089,2011-06-17 10:38:00+00:00,No,,No,,PM-004
PAY-042063,OR-042090,2024-04-20 05:53:00+00:00,Yes,4533.0,Yes,96.0,PM-001
PAY-042064,OR-042091,2024-05-09 20:09:00+00:00,No,,No,,PM-002
PAY-042065,OR-042092,2020-12-15 17:28:00+00:00,No,,No,,PM-004
PAY-042066,OR-042093,2023-07-08 21:26:00+00:00,Yes,1542.0,Yes,420.0,PM-002
PAY-042067,OR-042094,2017-03-07 22:05:00+00:00,No,,Yes,120.0,PM-002
PAY-042068,OR-042095,2021-08-16 16:54:00+00:00,Yes,3036.0,Yes,67.0,PM-003
PAY-042069,OR-042096,2006-02-21 06:56:00+00:00,No,,No,,PM-002
PAY-042070,OR-042097,2018-06-04 06:38:00+00:00,No,,Yes,451.0,PM-002
PAY-042071,OR-042098,2023-02-24 17:42:00+00:00,No,,Yes,333.0,PM-001
PAY-042072,OR-042099,2022-11-11 23:13:00+00:00,No,,Yes,277.0,PM-005
PAY-042073,OR-042100,2021-10-06 18:30:00+00:00,No,,Yes,315.0,PM-002
PAY-042074,OR-042101,2023-10-30 01:16:00+00:00,No,,No,,PM-002
PAY-042075,OR-042102,2024-06-12 21:06:00+00:00,Yes,2375.0,Yes,162.0,PM-002
PAY-042076,OR-042103,2006-01-15 15:12:00+00:00,No,,Yes,482.0,PM-002
PAY-042077,OR-042104,2024-05-23 11:55:00+00:00,No,,Yes,283.0,PM-001
PAY-042078,OR-042105,2022-04-28 13:01:00+00:00,Yes,4775.0,No,,PM-001
PAY-042079,OR-042106,2023-06-11 00:36:00+00:00,Yes,2739.0,Yes,30.0,PM-002
PAY-042080,OR-042107,2023-05-16 22:19:00+00:00,Yes,3626.0,No,,PM-002
PAY-042081,OR-042108,2022-03-12 13:26:00+00:00,No,,Yes,446.0,PM-003
PAY-042082,OR-042109,2023-04-03 11:32:00+00:00,No,,No,,PM-002
PAY-042083,OR-042110,2023-07-21 07:31:00+00:00,Yes,2492.0,No,,PM-002
PAY-042084,OR-042111,2019-08-15 13:02:00+00:00,No,,Yes,415.0,PM-001
PAY-042085,OR-042112,2023-01-31 00:33:00+00:00,No,,Yes,333.0,PM-002
PAY-042086,OR-042113,2022-03-15 20:42:00+00:00,No,,Yes,143.0,PM-004
PAY-042087,OR-042114,2019-02-13 07:04:00+00:00,No,,No,,PM-002
PAY-042088,OR-042115,2020-06-24 13:07:00+00:00,No,,Yes,103.0,PM-002
PAY-042089,OR-042116,2022-11-28 17:22:00+00:00,No,,No,,PM-002
PAY-042090,OR-042117,2015-09-08 06:59:00+00:00,Yes,3713.0,Yes,479.0,PM-002
PAY-042091,OR-042118,2024-04-28 06:26:00+00:00,No,,No,,PM-002
PAY-042092,OR-042119,2012-11-23 08:28:00+00:00,No,,No,,PM-001
PAY-042093,OR-042120,2022-03-02 05:23:00+00:00,Yes,4516.0,No,,PM-002
PAY-042094,OR-042121,2022-07-30 18:04:00+00:00,Yes,4096.0,No,,PM-002
PAY-042095,OR-042122,2024-01-20 03:37:00+00:00,No,,No,,PM-002
PAY-042096,OR-042123,2022-04-11 17:39:00+00:00,Yes,1345.0,Yes,81.0,PM-002
PAY-042097,OR-042124,2023-09-30 03:39:00+00:00,No,,Yes,451.0,PM-002
PAY-042098,OR-042125,2023-07-04 07:14:00+00:00,Yes,475.0,Yes,412.0,PM-002
PAY-042099,OR-042126,2011-11-16 17:14:00+00:00,Yes,4977.0,No,,PM-005
PAY-042100,OR-042127,2013-11-02 19:40:00+00:00,Yes,4219.0,No,,PM-002
PAY-042101,OR-042128,2024-05-23 02:58:00+00:00,No,,No,,PM-002
PAY-042102,OR-042129,2020-06-05 16:31:00+00:00,Yes,1578.0,Yes,120.0,PM-002
PAY-042103,OR-042130,2012-09-05 03:12:00+00:00,No,,No,,PM-002
PAY-042104,OR-042131,2020-04-04 03:54:00+00:00,Yes,1050.0,No,,PM-002
PAY-042105,OR-042132,2016-10-10 22:16:00+00:00,No,,Yes,136.0,PM-001
PAY-042106,OR-042133,2016-03-29 13:27:00+00:00,No,,Yes,292.0,PM-002
PAY-042107,OR-042134,2022-05-24 15:23:00+00:00,No,,No,,PM-001
PAY-042108,OR-042135,2024-04-14 18:46:00+00:00,No,,Yes,250.0,PM-002
PAY-042109,OR-042136,2024-04-04 05:15:00+00:00,Yes,1320.0,No,,PM-004
PAY-042110,OR-042137,2019-09-10 04:24:00+00:00,No,,Yes,73.0,PM-001
PAY-042111,OR-042138,2017-08-03 14:54:00+00:00,Yes,560.0,No,,PM-003
PAY-042112,OR-042139,2023-01-25 21:35:00+00:00,No,,No,,PM-003
PAY-042113,OR-042140,2023-08-12 15:35:00+00:00,Yes,2153.0,Yes,485.0,PM-003
PAY-042114,OR-042141,2024-05-16 22:00:00+00:00,No,,Yes,222.0,PM-003
PAY-042115,OR-042142,2023-10-05 05:34:00+00:00,Yes,2639.0,Yes,205.0,PM-003
PAY-042116,OR-042143,2024-05-01 20:53:00+00:00,Yes,4072.0,Yes,235.0,PM-002
PAY-042117,OR-042144,2022-12-11 20:08:00+00:00,No,,Yes,335.0,PM-002
PAY-042118,OR-042145,2021-08-15 12:44:00+00:00,Yes,4607.0,No,,PM-004
PAY-042119,OR-042146,2016-11-30 18:51:00+00:00,Yes,4382.0,Yes,10.0,PM-002
PAY-042120,OR-042147,2022-10-24 19:48:00+00:00,Yes,1635.0,Yes,151.0,PM-005
PAY-042121,OR-042148,2024-05-25 18:40:00+00:00,Yes,3151.0,Yes,101.0,PM-002
PAY-042122,OR-042149,2009-06-02 11:47:00+00:00,No,,Yes,89.0,PM-001
PAY-042123,OR-042150,2000-01-18 10:21:00+00:00,No,,No,,PM-002
PAY-042124,OR-042151,2023-05-31 06:52:00+00:00,No,,Yes,367.0,PM-002
PAY-042125,OR-042152,2018-12-07 13:05:00+00:00,Yes,1174.0,Yes,129.0,PM-002
PAY-042126,OR-042153,2023-09-12 04:27:00+00:00,Yes,859.0,Yes,466.0,PM-001
PAY-042127,OR-042154,2024-05-29 00:40:00+00:00,No,,No,,PM-003
PAY-042128,OR-042155,2019-12-15 10:13:00+00:00,Yes,518.0,Yes,174.0,PM-002
PAY-042129,OR-042156,2021-10-06 04:31:00+00:00,Yes,600.0,No,,PM-003
PAY-042130,OR-042157,2023-07-29 15:24:00+00:00,No,,Yes,96.0,PM-002
PAY-042131,OR-042158,2024-04-20 05:24:00+00:00,Yes,4317.0,Yes,338.0,PM-001
PAY-042132,OR-042159,2022-06-21 18:03:00+00:00,Yes,1195.0,Yes,268.0,PM-002
PAY-042133,OR-042160,2021-04-14 20:20:00+00:00,Yes,1394.0,No,,PM-003
PAY-042134,OR-042161,2022-05-21 04:25:00+00:00,Yes,4318.0,No,,PM-002
PAY-042135,OR-042162,2023-04-17 20:48:00+00:00,No,,No,,PM-004
PAY-042136,OR-042163,2022-08-05 08:47:00+00:00,No,,No,,PM-002
PAY-042137,OR-042164,2023-10-26 20:58:00+00:00,Yes,3624.0,Yes,435.0,PM-002
PAY-042138,OR-042165,2024-01-10 16:12:00+00:00,No,,Yes,383.0,PM-002
PAY-042139,OR-042166,2023-07-22 03:51:00+00:00,Yes,3042.0,Yes,499.0,PM-002
PAY-042140,OR-042167,2023-09-19 13:55:00+00:00,No,,Yes,377.0,PM-002
PAY-042141,OR-042168,2010-12-12 07:34:00+00:00,No,,Yes,198.0,PM-002
PAY-042142,OR-042169,2020-03-01 15:28:00+00:00,Yes,2731.0,No,,PM-002
PAY-042143,OR-042170,2002-11-06 13:16:00+00:00,Yes,1187.0,No,,PM-002
PAY-042144,OR-042171,2019-04-11 08:07:00+00:00,No,,Yes,320.0,PM-001
PAY-042145,OR-042172,2023-07-19 21:16:00+00:00,No,,No,,PM-004
PAY-042146,OR-042173,2003-07-09 08:20:00+00:00,No,,No,,PM-002
PAY-042147,OR-042174,2023-04-18 23:56:00+00:00,No,,No,,PM-002
PAY-042148,OR-042175,2024-05-31 13:04:00+00:00,No,,Yes,192.0,PM-003
PAY-042149,OR-042176,2017-12-27 23:03:00+00:00,No,,Yes,147.0,PM-002
PAY-042150,OR-042177,2023-07-15 05:34:00+00:00,No,,No,,PM-002
PAY-042151,OR-042178,2023-09-27 21:54:00+00:00,No,,Yes,444.0,PM-002
PAY-042152,OR-042179,2023-10-17 11:34:00+00:00,No,,Yes,367.0,PM-003
PAY-042153,OR-042180,2018-08-25 01:59:00+00:00,Yes,4054.0,Yes,336.0,PM-002
PAY-042154,OR-042181,2018-03-22 15:49:00+00:00,Yes,4190.0,No,,PM-003
PAY-042155,OR-042182,2024-04-24 16:08:00+00:00,No,,Yes,331.0,PM-002
PAY-042156,OR-042183,2024-05-03 23:34:00+00:00,Yes,2891.0,No,,PM-002
PAY-042157,OR-042184,2016-06-30 21:22:00+00:00,No,,Yes,475.0,PM-002
PAY-042158,OR-042185,2024-03-19 04:56:00+00:00,Yes,4151.0,Yes,99.0,PM-002
PAY-042159,OR-042186,2024-06-13 01:54:00+00:00,Yes,1765.0,Yes,172.0,PM-003
PAY-042160,OR-042187,2013-07-19 02:14:00+00:00,No,,No,,PM-003
PAY-042161,OR-042188,2023-03-26 10:47:00+00:00,Yes,1205.0,No,,PM-002
PAY-042162,OR-042189,2023-12-12 12:39:00+00:00,Yes,1237.0,No,,PM-002
PAY-042163,OR-042190,2024-06-08 02:56:00+00:00,No,,Yes,82.0,PM-002
PAY-042164,OR-042191,2024-02-10 22:21:00+00:00,No,,No,,PM-002
PAY-042165,OR-042192,2024-02-25 09:29:00+00:00,No,,Yes,382.0,PM-002
PAY-042166,OR-042193,2023-11-22 09:44:00+00:00,Yes,4135.0,No,,PM-003
PAY-042167,OR-042194,2017-12-27 18:59:00+00:00,No,,Yes,209.0,PM-002
PAY-042168,OR-042195,2022-03-06 20:49:00+00:00,Yes,2431.0,Yes,376.0,PM-003
PAY-042169,OR-042196,2023-07-26 11:23:00+00:00,No,,No,,PM-002
PAY-042170,OR-042197,2023-10-03 14:43:00+00:00,No,,No,,PM-002
PAY-042171,OR-042198,2024-06-05 13:22:00+00:00,Yes,2657.0,No,,PM-002
PAY-042172,OR-042199,2024-04-16 09:05:00+00:00,No,,Yes,385.0,PM-002
PAY-042173,OR-042200,2024-01-13 10:48:00+00:00,No,,Yes,92.0,PM-002
PAY-042174,OR-042201,2013-07-21 19:19:00+00:00,Yes,1866.0,Yes,337.0,PM-002
PAY-042175,OR-042202,2023-11-30 12:55:00+00:00,No,,No,,PM-002
PAY-042176,OR-042203,2022-02-12 18:14:00+00:00,Yes,796.0,Yes,369.0,PM-002
PAY-042177,OR-042204,2018-03-21 16:02:00+00:00,Yes,3887.0,No,,PM-002
PAY-042178,OR-042205,2020-12-21 13:45:00+00:00,Yes,3527.0,Yes,201.0,PM-002
PAY-042179,OR-042206,2022-11-17 11:30:00+00:00,Yes,152.0,No,,PM-002
PAY-042180,OR-042207,2009-04-01 06:59:00+00:00,Yes,1733.0,Yes,80.0,PM-002
PAY-042181,OR-042208,2020-07-01 18:46:00+00:00,No,,No,,PM-002
PAY-042182,OR-042209,2023-06-27 00:40:00+00:00,Yes,3359.0,No,,PM-002
